"position","well","row","column","media","strain","plasmid"
43,"C6","C",6,"SD-Trp","SY992","URA3_34-B"
44,"D6","D",6,"SD-Trp","SY992","URA3_34-B"
45,"E6","E",6,"SD-Trp","SY992","URA3_05-A"
46,"F6","F",6,"SD-Trp","SY992","URA3_05-A"
47,"G6","G",6,"SD-Trp","SY992","URA3_34-A"
48,"H6","H",6,"SD-Trp","SY992","URA3_34-A"
49,"A7","A",7,"SD-Trp","SY992","URA3_05-B"
50,"B7","B",7,"SD-Trp","SY992","URA3_05-B"
51,"C7","C",7,"SD-Trp","SY992","URA3_34-B"
52,"D7","D",7,"SD-Trp","SY992","URA3_34-B"
53,"E7","E",7,"SD-Trp","SY992","URA3_05-A"
54,"F7","F",7,"SD-Trp","SY992","URA3_05-A"
55,"G7","G",7,"SD-Trp","SY992","URA3_34-A"
56,"H7","H",7,"SD-Trp","SY992","URA3_34-A"
57,"A8","A",8,"SD-Trp","SY992","URA3_05-B"
58,"B8","B",8,"SD-Trp","SY992","URA3_05-B"
59,"C8","C",8,"SD-Trp","SY992","URA3_34-B"
60,"D8","D",8,"SD-Trp","SY992","URA3_34-B"
61,"E8","E",8,"SD-Trp","SY992","URA3_05-A"
62,"F8","F",8,"SD-Trp","SY992","URA3_05-A"
63,"G8","G",8,"SD-Trp","SY992","URA3_34-A"
64,"H8","H",8,"SD-Trp","SY992","URA3_34-A"
65,"A9","A",9,"SD-Trp","SY992","URA3_WT-A"
66,"B9","B",9,"SD-Trp","SY992","URA3_WT-A"
67,"C9","C",9,"SD-Trp","SY992","URA3_05-B"
68,"D9","D",9,"SD-Trp","SY992","URA3_05-B"
69,"E9","E",9,"SD-Trp","SY992","URA3_34-B"
70,"F9","F",9,"SD-Trp","SY992","URA3_34-B"
71,"G9","G",9,"SD-Trp","SY992","URA3_WT-B"
72,"H9","H",9,"SD-Trp","SY992","URA3_WT-B"
73,"A10","A",10,"SD-Trp","SY992","URA3_WT-A"
74,"B10","B",10,"SD-Trp","SY992","URA3_WT-A"
75,"C10","C",10,"SD-Trp","SY992","URA3_05-B"
76,"D10","D",10,"SD-Trp","SY992","URA3_05-B"
77,"E10","E",10,"SD-Trp","SY992","URA3_34-B"
78,"F10","F",10,"SD-Trp","SY992","URA3_34-B"
79,"G10","G",10,"SD-Trp","SY992","URA3_WT-B"
80,"H10","H",10,"SD-Trp","SY992","URA3_WT-B"
81,"A11","A",11,"SD-Trp","SY992","URA3_WT-A"
82,"B11","B",11,"SD-Trp","SY992","URA3_WT-A"
83,"C11","C",11,"SD-Trp","SY992","URA3_05-B"
84,"D11","D",11,"SD-Trp","SY992","URA3_05-B"
85,"E11","E",11,"SD-Trp","SY992","URA3_34-B"
86,"F11","F",11,"SD-Trp","SY992","URA3_34-B"
87,"G11","G",11,"SD-Trp","SY992","URA3_WT-B"
88,"H11","H",11,"SD-Trp","SY992","URA3_WT-B"
89,"A12","A",12,"SD-Trp","SY992","URA3_WT-A"
90,"B12","B",12,"SD-Trp","SY992","URA3_WT-A"
91,"C12","C",12,"SD-Trp","SY992","URA3_05-B"
92,"D12","D",12,"SD-Trp","SY992","URA3_05-B"
93,"E12","E",12,"SD-Trp","SY992","URA3_34-B"
94,"F12","F",12,"SD-Trp","SY992","URA3_34-B"
95,"G12","G",12,"SD-Trp","SY992","URA3_WT-B"
96,"H12","H",12,"SD-Trp","SY992","URA3_WT-B"
