variant,gfp_rfu,replicate,experiment,log_gfp,prob_inactive,post_log_gfp_mu,post_log_gfp_sig,post_score
Variant 31,676.0,1,1,2.829946695941636,0.6206666666666667,2.7802089060575628,0.17755076009831464,-0.024054868633741476
Variant 32,695.0,1,1,2.8419848045901137,0.3355,2.943687432943522,0.3612140006805401,0.060123799132791575
Variant 33,640.0,1,1,2.806179973983887,0.81,2.6857547886326536,0.16527218246773667,-0.07269135882819415
Variant 34,765.0,1,1,2.8836614351536176,0.41,2.8545799854154636,0.09105239256923008,0.014240426167112855
Variant 35,900.0,1,1,2.9542425094393248,0.7750833333333333,2.662373096968493,0.25854529115859687,-0.08473110308029351
Variant 36,1165.0,1,1,3.0663259253620376,0.7235,2.647461151726788,0.3731632527450182,-0.09240958971805165
Variant 37,1426.0,1,1,3.154119525515847,0.6751666666666667,2.7142368635388343,0.29547056799856425,-0.05802531573067212
Variant 38,570.0,1,1,2.7558748556724915,0.82575,2.670258526038303,0.17761601135273702,-0.08067072324626694
Variant 39,510.0,1,1,2.7075701760979363,0.8455,2.73122467763621,0.04658142951911964,-0.04927791883260632
Variant 40,655.0,1,1,2.816241299991783,0.8163333333333334,2.6452107558416187,0.23393489149321378,-0.0935683677616841
Variant 41,615.0,1,1,2.788875115775417,0.8135833333333333,2.726932291752756,0.08521857884515098,-0.05148816217215569
Variant 42,644.0,1,1,2.808885867359812,0.8125833333333333,2.6817692129069206,0.18600432539561432,-0.07474361890947613
Variant 43,782.0,1,1,2.893206753059848,0.7515833333333334,2.724684577849819,0.1538237398677034,-0.05264555920449824
Variant 44,1610.0,1,1,3.2068258760318495,0.6404166666666666,2.7190174879490243,0.37017797327305163,-0.055563667698923645
Variant 45,1370.0,1,1,3.1367205671564067,0.7090833333333333,2.6888920263760494,0.29370295706400723,-0.07107592652196737
Variant 46,808.0,1,1,2.907411360774586,0.6765,2.7515056382796925,0.19319557786274125,-0.038834808777028225
Variant 47,584.0,1,1,2.7664128471123997,0.76775,2.663038367321173,0.267430450809336,-0.08438854083031536
Variant 48,704.0,1,1,2.847572659142112,0.6193333333333333,2.795264024185622,0.08629270871397063,-0.016302659146486504
Variant 49,765.0,1,1,2.8836614351536176,0.19008333333333333,3.1137990207234414,0.42402231858109357,0.14771797497799324
Variant 50,592.0,1,1,2.77232170672292,0.8446666666666667,2.648042805132175,0.18198827466971534,-0.09211008366242449
Variant 51,588.0,1,1,2.7693773260761385,0.9103333333333333,2.5780007494433135,0.18659355565152783,-0.12817626952688782
Variant 52,1633.0,1,1,3.212986184736668,0.6624166666666667,2.6969154673564573,0.39045671728758186,-0.06694448133769988
Variant 53,1948.0,1,1,3.2895889525425965,0.5761666666666667,2.77035644852835,0.35009129365068714,-0.029128114428365194
Variant 54,772.0,1,1,2.887617300335736,0.6499166666666667,2.7657502591498924,0.1837262891978617,-0.03149994204845018
Variant 55,694.0,1,1,2.841359470454855,0.7775,2.6687395560828753,0.2503325740930948,-0.08145287408687554
Variant 56,607.0,1,1,2.7831886910752575,0.8944166666666666,2.540442745812791,0.24937916162967724,-0.14751570675948206
Variant 57,800.0,1,1,2.9030899869919438,0.70025,2.7192952250200104,0.2504644534227892,-0.0554206548086662
Variant 58,694.0,1,1,2.841359470454855,0.6939166666666666,2.765875072090748,0.10702985174040627,-0.03143567313630998
Variant 59,742.0,1,1,2.870403905279027,0.5905,2.800606455163318,0.14891330722976098,-0.013551724629864523
Variant 62,1560.0,1,1,3.1931245983544616,0.6298333333333334,2.728117293231689,0.38541249227848273,-0.050877979001937045
Variant 63,1448.0,1,1,3.1607685618611283,0.594,2.7758734341996365,0.25439223661949895,-0.026287297883572657
Variant 64,716.0,1,1,2.8549130223078554,0.7253333333333334,2.7207301669063315,0.2131927383994789,-0.054681771858019305
Variant 66,733.0,1,1,2.8651039746411278,0.80775,2.633974968298451,0.25736882293889773,-0.09935392042543822
Variant 67,691.0,1,1,2.8394780473741985,0.8368333333333333,2.6343520643772282,0.2203844498483617,-0.0991597454096969
Variant 70,681.0,1,1,2.833147111912785,0.8206666666666667,2.6490813729174594,0.21496488501552616,-0.09157530240267243
Variant 71,703.0,1,1,2.846955325019824,0.79625,2.6501671067353914,0.23533936906038427,-0.09101623432147825
Variant 72,830.0,1,1,2.9190780923760737,0.8850833333333333,2.562225878964629,0.24352311223787523,-0.13629909523605033
Variant 74,1155.0,1,1,3.062581984228163,0.6676666666666666,2.7148967265595276,0.3264952994606613,-0.05768553783415907
Variant 75,1407.0,1,1,3.1482940974347455,0.6860833333333334,2.7083371211496803,0.30576277910790267,-0.06106322207803708
Variant 76,669.0,1,1,2.8254261177678233,0.6940833333333334,2.7192275514702633,0.25937028444853744,-0.055455501399036565
Variant 77,576.0,1,1,2.760422483423212,0.8480833333333333,2.65811571261033,0.17048292152110114,-0.0869233233692018
Variant 78,605.0,1,1,2.781755374652469,0.8703333333333333,2.645636726971052,0.1603042979650298,-0.09334902591376235
Variant 79,852.0,1,1,2.9304395947667,0.733,2.669201895649542,0.300205228513951,-0.08121480533546764
Variant 80,681.0,1,1,2.833147111912785,0.8293333333333334,2.666046526683512,0.1721248514998585,-0.0828395738046473
Variant 81,721.0,1,1,2.857935264719429,0.8829166666666667,2.567901546670776,0.24702744645341154,-0.13337656984210483
Variant 82,1014.0,1,1,3.0060379549973173,0.5720833333333334,2.790222883822893,0.2739733875216517,-0.018898452538083664
Variant 83,1506.0,1,1,3.177824971864682,0.7535,2.6225270469437496,0.3895062336944208,-0.10524870542681675
Variant 84,581.0,1,1,2.7641761323903307,0.7220833333333333,2.692787316643064,0.2634243484959799,-0.06907015639736895
Variant 85,460.0,1,1,2.662757831681574,0.95325,2.582574956029918,0.1065598326942386,-0.12582091054559555
Variant 86,339.0,1,1,2.530199698203082,0.9778333333333333,2.4745539966267645,0.12561591205176875,-0.18144326429829014
Variant 87,926.0,1,1,2.966610986681934,0.7561666666666667,2.673723710974229,0.2767119636788887,-0.0788864237604122
Variant 88,819.0,1,1,2.9132839017604186,0.7421666666666666,2.6945495392555356,0.2520219492061612,-0.06816274944520441
Variant 89,671.0,1,1,2.826722520168992,0.95425,2.4233848095722355,0.22790214964510933,-0.20779139746902478
Variant 90,1127.0,1,1,3.0519239160461065,0.6134166666666667,2.770711469410863,0.21318890100071014,-0.02894530641382953
Variant 91,1241.0,1,1,3.09377178149873,0.7106666666666667,2.6990373277934214,0.2793332259764916,-0.06585188900663026
Variant 92,650.0,1,1,2.8129133566428557,0.774,2.7073528825834736,0.16615241558837412,-0.0615700280350391
Variant 93,635.0,1,1,2.8027737252919755,0.6898333333333333,2.7427363930237205,0.18278024502667473,-0.043350284888950014
Variant 94,1001.0,1,1,3.000434077479319,0.7701666666666667,2.6222814969928696,0.3558398245011601,-0.10537514446519661
Variant 95,905.0,1,1,2.9566485792052033,0.7210833333333333,2.718979105483125,0.23225092856601176,-0.0555834316698044
Variant 96,856.0,1,1,2.932473764677153,0.81675,2.632077637795632,0.24005068677969912,-0.10033089738432359
Variant 97,664.0,1,1,2.8221680793680175,0.779,2.6754902841686556,0.22244056151707167,-0.07797677659847864
Variant 98,1487.0,1,1,3.172310968521954,0.030666666666666665,3.1367625199964326,0.1237153627365356,0.15954238282457617
No T7,677.0,2,1,2.8305886686851442,0.5009166666666667,2.8269244765579877,0.10260607679453998,0.0
wt,47947.0,2,1,4.6807614389476635,0.0,4.768966697270746,0.0912140793033594,1.0
Variant 0,278.0,2,1,2.444044795918076,0.838,2.6127545289076175,0.25322602338210554,-0.11028078862866673
Variant 1,238.0,2,1,2.376576957056512,0.7563333333333333,2.642673087610017,0.3218679716400795,-0.09487506861737945
Variant 2,349.0,2,1,2.5428254269591797,0.8070833333333334,2.63988323184133,0.25140457650660264,-0.09631162634971496
Variant 3,281.0,2,1,2.44870631990508,0.8441666666666666,2.5940019934894725,0.2714629189637384,-0.11993687911843094
Variant 4,332.0,2,1,2.5211380837040362,0.6380833333333333,2.753898004798258,0.2547747677311115,-0.0376029269502327
Variant 5,374.0,2,1,2.5728716022004803,0.48983333333333334,2.83355123585098,0.2305291861628717,0.003412263246552982
Variant 6,921.0,2,1,2.964259630196849,0.5941666666666666,2.798002664941989,0.12404822738433077,-0.014892473143752815
Variant 7,520.0,2,1,2.716003343634799,0.6153333333333333,2.7777602855590686,0.1795388245962593,-0.02531571686473177
Variant 8,1247.0,2,1,3.0958664534785427,0.5646666666666667,2.7929298171509074,0.32048753244769174,-0.017504593383455797
Variant 9,639.0,2,1,2.8055008581584002,0.799,2.6366585638279876,0.27248998883029313,-0.0979720784135011
Variant 10,279.0,2,1,2.4456042032735974,0.9650833333333333,2.498705137921364,0.15207994661786892,-0.16900731360833265
Variant 11,338.0,2,1,2.5289167002776547,0.7991666666666667,2.6790049791917974,0.18920357120007184,-0.07616698328623449
Variant 12,312.0,2,1,2.494154594018443,0.7065,2.6618601657753485,0.3959348202691623,-0.08499522256630355
Variant 13,291.0,2,1,2.4638929889859074,0.44825,2.8540181077602393,0.21352987568962425,0.013951103077618904
Variant 14,538.0,2,1,2.7307822756663893,0.7875833333333333,2.702541591427081,0.1602503636194307,-0.06404746704490091
Variant 15,392.0,2,1,2.593286067020457,0.57575,2.7848823925020723,0.30587575482186224,-0.021648388282972247
Variant 16,669.0,2,1,2.8254261177678233,0.8681666666666666,2.637350509836039,0.17473382563427467,-0.09761578028533927
Variant 17,746.0,2,1,2.8727388274726686,0.8056666666666666,2.6212374887607632,0.2858649376250144,-0.10591272712996648
Variant 18,374.0,2,1,2.5728716022004803,0.9591666666666666,2.561530244100491,0.12133725776860843,-0.13665729283686395
Variant 19,334.0,2,1,2.5237464668115646,0.87975,2.606797817611101,0.1986376638960414,-0.11334802951199338
Variant 20,301.0,2,1,2.4785664955938436,0.8171666666666667,2.552401387027604,0.37206398290717446,-0.14135794093582055
Variant 21,205.0,2,1,2.311753861055754,0.74475,2.6825797633780253,0.25320294355510137,-0.07432624875013573
Variant 22,558.0,2,1,2.7466341989375787,0.3705,2.8885550430762814,0.23467081073162083,0.03173492618284805
Variant 23,411.0,2,1,2.6138418218760693,0.6471666666666667,2.750007272619987,0.2561336767396634,-0.03960635001527972
Variant 24,995.0,2,1,2.9978230807457256,0.26508333333333334,2.9719204743433996,0.2665389371876874,0.07466160943308234
Variant 25,805.0,2,1,2.9057958803678687,0.7375,2.729289766728407,0.17344951009187384,-0.05027424676367092
Variant 26,601.0,2,1,2.7788744720027396,0.8835,2.6704587733494924,0.10558054308139346,-0.08056761152755477
Variant 27,325.0,2,1,2.5118833609788744,0.8049166666666666,2.6053444914988964,0.31390040980078565,-0.11409637890249794
Variant 28,202.0,2,1,2.305351369446624,0.7503333333333333,2.6196188317145017,0.3684087219311136,-0.10674620903319074
Variant 29,222.0,2,1,2.346352974450639,0.6081666666666666,2.7442933571025696,0.3558741490030448,-0.04254857004349333
Variant 30,508.0,2,1,2.7058637122839193,0.82825,2.6783828645834302,0.16020166240219214,-0.07648732369991448
Variant 31,676.0,2,1,2.829946695941636,0.6206666666666667,2.7802089060575628,0.17755076009831464,-0.024054868633741476
Variant 32,695.0,2,1,2.8419848045901137,0.3355,2.943687432943522,0.3612140006805401,0.060123799132791575
Variant 33,640.0,2,1,2.806179973983887,0.81,2.6857547886326536,0.16527218246773667,-0.07269135882819415
Variant 34,765.0,2,1,2.8836614351536176,0.41,2.8545799854154636,0.09105239256923008,0.014240426167112855
Variant 35,424.0,2,1,2.6273658565927325,0.7750833333333333,2.662373096968493,0.25854529115859687,-0.08473110308029351
Variant 36,339.0,2,1,2.530199698203082,0.7235,2.647461151726788,0.3731632527450182,-0.09240958971805165
Variant 37,262.0,2,1,2.4183012913197452,0.6751666666666667,2.7142368635388343,0.29547056799856425,-0.05802531573067212
Variant 38,570.0,2,1,2.7558748556724915,0.82575,2.670258526038303,0.17761601135273702,-0.08067072324626694
Variant 39,510.0,2,1,2.7075701760979363,0.8455,2.73122467763621,0.04658142951911964,-0.04927791883260632
Variant 40,655.0,2,1,2.816241299991783,0.8163333333333334,2.6452107558416187,0.23393489149321378,-0.0935683677616841
Variant 41,615.0,2,1,2.788875115775417,0.8135833333333333,2.726932291752756,0.08521857884515098,-0.05148816217215569
Variant 42,644.0,2,1,2.808885867359812,0.8125833333333333,2.6817692129069206,0.18600432539561432,-0.07474361890947613
Variant 43,515.0,2,1,2.711807229041191,0.7515833333333334,2.724684577849819,0.1538237398677034,-0.05264555920449824
Variant 44,331.0,2,1,2.519827993775719,0.6404166666666666,2.7190174879490243,0.37017797327305163,-0.055563667698923645
Variant 45,208.0,2,1,2.3180633349627615,0.7090833333333333,2.6888920263760494,0.29370295706400723,-0.07107592652196737
Variant 46,808.0,2,1,2.907411360774586,0.6765,2.7515056382796925,0.19319557786274125,-0.038834808777028225
Variant 47,584.0,2,1,2.7664128471123997,0.76775,2.663038367321173,0.267430450809336,-0.08438854083031536
Variant 48,704.0,2,1,2.847572659142112,0.6193333333333333,2.795264024185622,0.08629270871397063,-0.016302659146486504
Variant 49,765.0,2,1,2.8836614351536176,0.19008333333333333,3.1137990207234414,0.42402231858109357,0.14771797497799324
Variant 50,592.0,2,1,2.77232170672292,0.8446666666666667,2.648042805132175,0.18198827466971534,-0.09211008366242449
Variant 51,426.0,2,1,2.629409599102719,0.9103333333333333,2.5780007494433135,0.18659355565152783,-0.12817626952688782
Variant 52,237.0,2,1,2.374748346010104,0.6624166666666667,2.6969154673564573,0.39045671728758186,-0.06694448133769988
Variant 53,322.0,2,1,2.507855871695831,0.5761666666666667,2.77035644852835,0.35009129365068714,-0.029128114428365194
Variant 54,772.0,2,1,2.887617300335736,0.6499166666666667,2.7657502591498924,0.1837262891978617,-0.03149994204845018
Variant 55,694.0,2,1,2.841359470454855,0.7775,2.6687395560828753,0.2503325740930948,-0.08145287408687554
Variant 56,607.0,2,1,2.7831886910752575,0.8944166666666666,2.540442745812791,0.24937916162967724,-0.14751570675948206
Variant 57,800.0,2,1,2.9030899869919438,0.70025,2.7192952250200104,0.2504644534227892,-0.0554206548086662
Variant 58,694.0,2,1,2.841359470454855,0.6939166666666666,2.765875072090748,0.10702985174040627,-0.03143567313630998
Variant 59,775.0,2,1,2.88930170250631,0.5905,2.800606455163318,0.14891330722976098,-0.013551724629864523
Variant 62,218.0,2,1,2.3384564936046046,0.6298333333333334,2.728117293231689,0.38541249227848273,-0.050877979001937045
Variant 63,490.0,2,1,2.690196080028514,0.594,2.7758734341996365,0.25439223661949895,-0.026287297883572657
Variant 64,716.0,2,1,2.8549130223078554,0.7253333333333334,2.7207301669063315,0.2131927383994789,-0.054681771858019305
Variant 66,733.0,2,1,2.8651039746411278,0.80775,2.633974968298451,0.25736882293889773,-0.09935392042543822
Variant 67,691.0,2,1,2.8394780473741985,0.8368333333333333,2.6343520643772282,0.2203844498483617,-0.0991597454096969
Variant 70,681.0,2,1,2.833147111912785,0.8206666666666667,2.6490813729174594,0.21496488501552616,-0.09157530240267243
Variant 71,703.0,2,1,2.846955325019824,0.79625,2.6501671067353914,0.23533936906038427,-0.09101623432147825
Variant 72,241.0,2,1,2.3820170425748683,0.8850833333333333,2.562225878964629,0.24352311223787523,-0.13629909523605033
Variant 74,290.0,2,1,2.462397997898956,0.6676666666666666,2.7148967265595276,0.3264952994606613,-0.05768553783415907
Variant 75,406.0,2,1,2.6085260335771943,0.6860833333333334,2.7083371211496803,0.30576277910790267,-0.06106322207803708
Variant 76,669.0,2,1,2.8254261177678233,0.6940833333333334,2.7192275514702633,0.25937028444853744,-0.055455501399036565
Variant 77,576.0,2,1,2.760422483423212,0.8480833333333333,2.65811571261033,0.17048292152110114,-0.0869233233692018
Variant 78,605.0,2,1,2.781755374652469,0.8703333333333333,2.645636726971052,0.1603042979650298,-0.09334902591376235
Variant 79,852.0,2,1,2.9304395947667,0.733,2.669201895649542,0.300205228513951,-0.08121480533546764
Variant 80,681.0,2,1,2.833147111912785,0.8293333333333334,2.666046526683512,0.1721248514998585,-0.0828395738046473
Variant 81,366.0,2,1,2.5634810853944106,0.8829166666666667,2.567901546670776,0.24702744645341154,-0.13337656984210483
Variant 82,650.0,2,1,2.8129133566428557,0.5720833333333334,2.790222883822893,0.2739733875216517,-0.018898452538083664
Variant 83,279.0,2,1,2.4456042032735974,0.7535,2.6225270469437496,0.3895062336944208,-0.10524870542681675
Variant 84,581.0,2,1,2.7641761323903307,0.7220833333333333,2.692787316643064,0.2634243484959799,-0.06907015639736895
Variant 85,460.0,2,1,2.662757831681574,0.95325,2.582574956029918,0.1065598326942386,-0.12582091054559555
Variant 86,339.0,2,1,2.530199698203082,0.9778333333333333,2.4745539966267645,0.12561591205176875,-0.18144326429829014
Variant 87,926.0,2,1,2.966610986681934,0.7561666666666667,2.673723710974229,0.2767119636788887,-0.0788864237604122
Variant 88,819.0,2,1,2.9132839017604186,0.7421666666666666,2.6945495392555356,0.2520219492061612,-0.06816274944520441
Variant 89,279.0,2,1,2.4456042032735974,0.95425,2.4233848095722355,0.22790214964510933,-0.20779139746902478
Variant 90,430.0,2,1,2.6334684555795866,0.6134166666666667,2.770711469410863,0.21318890100071014,-0.02894530641382953
Variant 91,329.0,2,1,2.5171958979499744,0.7106666666666667,2.6990373277934214,0.2793332259764916,-0.06585188900663026
Variant 92,650.0,2,1,2.8129133566428557,0.774,2.7073528825834736,0.16615241558837412,-0.0615700280350391
Variant 93,635.0,2,1,2.8027737252919755,0.6898333333333333,2.7427363930237205,0.18278024502667473,-0.043350284888950014
Variant 94,1001.0,2,1,3.000434077479319,0.7701666666666667,2.6222814969928696,0.3558398245011601,-0.10537514446519661
Variant 95,905.0,2,1,2.9566485792052033,0.7210833333333333,2.718979105483125,0.23225092856601176,-0.0555834316698044
Variant 96,856.0,2,1,2.932473764677153,0.81675,2.632077637795632,0.24005068677969912,-0.10033089738432359
Variant 97,528.0,2,1,2.722633922533812,0.779,2.6754902841686556,0.22244056151707167,-0.07797677659847864
Variant 98,1606.0,2,1,3.205745540942662,0.030666666666666665,3.1367625199964326,0.1237153627365356,0.15954238282457617
No T7,675.0,3,1,2.829303772831025,0.5009166666666667,2.8269244765579877,0.10260607679453998,0.0
wt,68637.0,3,1,4.836558293023653,0.0,4.768966697270746,0.0912140793033594,1.0
Variant 0,310.0,3,1,2.4913616938342726,0.838,2.6127545289076175,0.25322602338210554,-0.11028078862866673
Variant 1,614.0,3,1,2.788168371141168,0.7563333333333333,2.642673087610017,0.3218679716400795,-0.09487506861737945
Variant 2,634.0,3,1,2.802089257881733,0.8070833333333334,2.63988323184133,0.25140457650660264,-0.09631162634971496
Variant 3,342.0,3,1,2.534026106056135,0.8441666666666666,2.5940019934894725,0.2714629189637384,-0.11993687911843094
Variant 4,616.0,3,1,2.7895807121644256,0.6380833333333333,2.753898004798258,0.2547747677311115,-0.0376029269502327
Variant 5,819.0,3,1,2.9132839017604186,0.48983333333333334,2.83355123585098,0.2305291861628717,0.003412263246552982
Variant 6,564.0,3,1,2.751279103983342,0.5941666666666666,2.798002664941989,0.12404822738433077,-0.014892473143752815
Variant 7,612.0,3,1,2.7867514221455614,0.6153333333333333,2.7777602855590686,0.1795388245962593,-0.02531571686473177
Variant 8,1164.0,3,1,3.06595298031387,0.5646666666666667,2.7929298171509074,0.32048753244769174,-0.017504593383455797
Variant 9,448.0,3,1,2.651278013998144,0.799,2.6366585638279876,0.27248998883029313,-0.0979720784135011
Variant 10,305.0,3,1,2.484299839346786,0.9650833333333333,2.498705137921364,0.15207994661786892,-0.16900731360833265
Variant 11,546.0,3,1,2.7371926427047373,0.7991666666666667,2.6790049791917974,0.18920357120007184,-0.07616698328623449
Variant 12,660.0,3,1,2.8195439355418688,0.7065,2.6618601657753485,0.3959348202691623,-0.08499522256630355
Variant 13,772.0,3,1,2.887617300335736,0.44825,2.8540181077602393,0.21352987568962425,0.013951103077618904
Variant 14,539.0,3,1,2.7315887651867388,0.7875833333333333,2.702541591427081,0.1602503636194307,-0.06404746704490091
Variant 15,527.0,3,1,2.7218106152125467,0.57575,2.7848823925020723,0.30587575482186224,-0.021648388282972247
Variant 16,505.0,3,1,2.7032913781186614,0.8681666666666666,2.637350509836039,0.17473382563427467,-0.09761578028533927
Variant 17,534.0,3,1,2.727541257028556,0.8056666666666666,2.6212374887607632,0.2858649376250144,-0.10591272712996648
Variant 18,341.0,3,1,2.5327543789924976,0.9591666666666666,2.561530244100491,0.12133725776860843,-0.13665729283686395
Variant 19,360.0,3,1,2.5563025007672873,0.87975,2.606797817611101,0.1986376638960414,-0.11334802951199338
Variant 20,858.0,3,1,2.9334872878487053,0.8171666666666667,2.552401387027604,0.37206398290717446,-0.14135794093582055
Variant 21,640.0,3,1,2.806179973983887,0.74475,2.6825797633780253,0.25320294355510137,-0.07432624875013573
Variant 22,620.0,3,1,2.792391689498254,0.3705,2.8885550430762814,0.23467081073162083,0.03173492618284805
Variant 23,450.0,3,1,2.6532125137753435,0.6471666666666667,2.750007272619987,0.2561336767396634,-0.03960635001527972
Variant 24,618.0,3,1,2.790988475088816,0.26508333333333334,2.9719204743433996,0.2665389371876874,0.07466160943308234
Variant 25,617.0,3,1,2.7902851640332416,0.7375,2.729289766728407,0.17344951009187384,-0.05027424676367092
Variant 26,418.0,3,1,2.621176281775035,0.8835,2.6704587733494924,0.10558054308139346,-0.08056761152755477
Variant 27,407.0,3,1,2.60959440922522,0.8049166666666666,2.6053444914988964,0.31390040980078565,-0.11409637890249794
Variant 28,643.0,3,1,2.808210972924222,0.7503333333333333,2.6196188317145017,0.3684087219311136,-0.10674620903319074
Variant 29,1456.0,3,1,3.1631613749770184,0.6081666666666666,2.7442933571025696,0.3558741490030448,-0.04254857004349333
Variant 30,534.0,3,1,2.727541257028556,0.82825,2.6783828645834302,0.16020166240219214,-0.07648732369991448
Variant 31,650.0,3,1,2.8129133566428557,0.6206666666666667,2.7802089060575628,0.17755076009831464,-0.024054868633741476
Variant 32,703.0,3,1,2.846955325019824,0.3355,2.943687432943522,0.3612140006805401,0.060123799132791575
Variant 33,583.0,3,1,2.765668554759014,0.81,2.6857547886326536,0.16527218246773667,-0.07269135882819415
Variant 34,663.0,3,1,2.821513528404773,0.41,2.8545799854154636,0.09105239256923008,0.014240426167112855
Variant 35,528.0,3,1,2.722633922533812,0.7750833333333333,2.662373096968493,0.25854529115859687,-0.08473110308029351
Variant 36,901.0,3,1,2.954724790979063,0.7235,2.647461151726788,0.3731632527450182,-0.09240958971805165
Variant 37,735.0,3,1,2.8662873390841948,0.6751666666666667,2.7142368635388343,0.29547056799856425,-0.05802531573067212
Variant 38,486.0,3,1,2.6866362692622934,0.82575,2.670258526038303,0.17761601135273702,-0.08067072324626694
Variant 39,585.0,3,1,2.7671558660821804,0.8455,2.73122467763621,0.04658142951911964,-0.04927791883260632
Variant 40,642.0,3,1,2.807535028068853,0.8163333333333334,2.6452107558416187,0.23393489149321378,-0.0935683677616841
Variant 41,478.0,3,1,2.6794278966121188,0.8135833333333333,2.726932291752756,0.08521857884515098,-0.05148816217215569
Variant 42,628.0,3,1,2.797959643737196,0.8125833333333333,2.6817692129069206,0.18600432539561432,-0.07474361890947613
Variant 43,584.0,3,1,2.7664128471123997,0.7515833333333334,2.724684577849819,0.1538237398677034,-0.05264555920449824
Variant 44,1038.0,3,1,3.016197353512439,0.6404166666666666,2.7190174879490243,0.37017797327305163,-0.055563667698923645
Variant 45,834.0,3,1,2.921166050637739,0.7090833333333333,2.6888920263760494,0.29370295706400723,-0.07107592652196737
Variant 46,642.0,3,1,2.807535028068853,0.6765,2.7515056382796925,0.19319557786274125,-0.038834808777028225
Variant 47,576.0,3,1,2.760422483423212,0.76775,2.663038367321173,0.267430450809336,-0.08438854083031536
Variant 48,660.0,3,1,2.8195439355418688,0.6193333333333333,2.795264024185622,0.08629270871397063,-0.016302659146486504
Variant 49,920.0,3,1,2.963787827345555,0.19008333333333333,3.1137990207234414,0.42402231858109357,0.14771797497799324
