variant,gfp_rfu,replicate,experiment,log_gfp,prob_inactive,post_log_gfp_mu,post_log_gfp_sig,post_score
No T7,685.0,1,1,2.8356905714924254,0.5009166666666667,2.8269244765579877,0.10260607679453998,0.0
wt,68224.0,1,1,4.83393717867444,0.0,4.768966697270746,0.0912140793033594,1.0
Variant 0,339.0,1,1,2.530199698203082,0.838,2.6127545289076175,0.25322602338210554,-0.11028078862866673
Variant 1,665.0,1,1,2.8228216453031045,0.7563333333333333,2.642673087610017,0.3218679716400795,-0.09487506861737945
Variant 2,550.0,1,1,2.7403626894942437,0.8070833333333334,2.63988323184133,0.25140457650660264,-0.09631162634971496
Variant 3,265.0,1,1,2.423245873936808,0.8441666666666666,2.5940019934894725,0.2714629189637384,-0.11993687911843094
Variant 4,1171.0,1,1,3.068556895072363,0.6380833333333333,2.753898004798258,0.2547747677311115,-0.0376029269502327
Variant 5,765.0,1,1,2.8836614351536176,0.48983333333333334,2.83355123585098,0.2305291861628717,0.003412263246552982
Variant 6,921.0,1,1,2.964259630196849,0.5941666666666666,2.798002664941989,0.12404822738433077,-0.014892473143752815
Variant 7,520.0,1,1,2.716003343634799,0.6153333333333333,2.7777602855590686,0.1795388245962593,-0.02531571686473177
Variant 8,1247.0,1,1,3.0958664534785427,0.5646666666666667,2.7929298171509074,0.32048753244769174,-0.017504593383455797
Variant 9,639.0,1,1,2.8055008581584002,0.799,2.6366585638279876,0.27248998883029313,-0.0979720784135011
Variant 10,279.0,1,1,2.4456042032735974,0.9650833333333333,2.498705137921364,0.15207994661786892,-0.16900731360833265
Variant 11,718.0,1,1,2.8561244442423,0.7991666666666667,2.6790049791917974,0.18920357120007184,-0.07616698328623449
Variant 12,1220.0,1,1,3.0863598306747484,0.7065,2.6618601657753485,0.3959348202691623,-0.08499522256630355
Variant 13,547.0,1,1,2.737987326333431,0.44825,2.8540181077602393,0.21352987568962425,0.013951103077618904
Variant 14,538.0,1,1,2.7307822756663893,0.7875833333333333,2.702541591427081,0.1602503636194307,-0.06404746704490091
Variant 15,392.0,1,1,2.593286067020457,0.57575,2.7848823925020723,0.30587575482186224,-0.021648388282972247
Variant 16,669.0,1,1,2.8254261177678233,0.8681666666666666,2.637350509836039,0.17473382563427467,-0.09761578028533927
Variant 17,746.0,1,1,2.8727388274726686,0.8056666666666666,2.6212374887607632,0.2858649376250144,-0.10591272712996648
Variant 18,374.0,1,1,2.5728716022004803,0.9591666666666666,2.561530244100491,0.12133725776860843,-0.13665729283686395
Variant 19,583.0,1,1,2.765668554759014,0.87975,2.606797817611101,0.1986376638960414,-0.11334802951199338
Variant 20,961.0,1,1,2.9827233876685453,0.8171666666666667,2.552401387027604,0.37206398290717446,-0.14135794093582055
Variant 21,1042.0,1,1,3.0178677189635055,0.74475,2.6825797633780253,0.25320294355510137,-0.07432624875013573
Variant 22,558.0,1,1,2.7466341989375787,0.3705,2.8885550430762814,0.23467081073162083,0.03173492618284805
Variant 23,411.0,1,1,2.6138418218760693,0.6471666666666667,2.750007272619987,0.2561336767396634,-0.03960635001527972
Variant 24,995.0,1,1,2.9978230807457256,0.26508333333333334,2.9719204743433996,0.2665389371876874,0.07466160943308234
Variant 25,805.0,1,1,2.9057958803678687,0.7375,2.729289766728407,0.17344951009187384,-0.05027424676367092
Variant 26,601.0,1,1,2.7788744720027396,0.8835,2.6704587733494924,0.10558054308139346,-0.08056761152755477
Variant 27,729.0,1,1,2.8627275283179747,0.8049166666666666,2.6053444914988964,0.31390040980078565,-0.11409637890249794
Variant 28,1222.0,1,1,3.0870712059065353,0.7503333333333333,2.6196188317145017,0.3684087219311136,-0.10674620903319074
Variant 29,1431.0,1,1,3.1556396337597765,0.6081666666666666,2.7442933571025696,0.3558741490030448,-0.04254857004349333
Variant 30,508.0,1,1,2.7058637122839193,0.82825,2.6783828645834302,0.16020166240219214,-0.07648732369991448
