well,neo,plasmid,clone,Sal_conc,Van_conc,TMP_conc,contents,row,column,p3_single_read,p2_single_read,score,twist_name,sort_num,date,is_bad_rep,twist_pdz_number,cript_number,date_neo
E4,Neo,pPDZ-4.6k,A,25.0,0.0,12.5,25 Sal; 0 Van; 12.5 TMP,E,4,0.07675,0.54175,0.0517444800269678,WT,-3,2024-07-12,True,-2,0,2024-07-12_Neo
E5,Neo,pPDZ-4.6k,A,25.0,50.0,12.5,25 Sal; 50 Van; 12.5 TMP,E,5,1.4845000000000002,0.4265,1.0008427439743808,WT,-3,2024-07-12,True,-2,0,2024-07-12_Neo
E6,Neo,pPDZ-4.6k,A,25.0,50.0,12.5,25 Sal; 50 Van; 12.5 TMP,E,6,1.482,0.442,0.9991572560256194,WT,-3,2024-07-12,True,-2,0,2024-07-12_Neo
F4,Neo,pPDZ-4.6k,A,0.0,0.0,0.0,0 Sal; 0 Van; 0.0 TMP,F,4,1.90375,0.54975,1.2834990729816282,WT,-3,2024-07-12,True,-2,0,2024-07-12_Neo
F5,Neo,pPDZ-4.6k,A,0.0,0.0,12.5,0 Sal; 0 Van; 12.5 TMP,F,5,0.09425,0.58125,0.0635428956682959,WT,-3,2024-07-12,True,-2,0,2024-07-12_Neo
F6,Neo,pPDZ-4.6k,A,0.0,50.0,12.5,0 Sal; 50 Van; 12.5 TMP,F,6,0.10725,0.49725,0.072307433001854,WT,-3,2024-07-12,True,-2,0,2024-07-12_Neo
E7,Neo2,pPDZ-4.6k,A,0.0,0.0,0.0,0 Sal; 0 Van; 0.0 TMP,E,7,1.997,0.5489999999999999,1.3633725891790407,WT,-3,2024-07-12,False,-2,0,2024-07-12_Neo2
E8,Neo2,pPDZ-4.6k,A,0.0,0.0,12.5,0 Sal; 0 Van; 12.5 TMP,E,8,0.0955,0.5305,0.0651988393923877,WT,-3,2024-07-12,False,-2,0,2024-07-12_Neo2
E9,Neo2,pPDZ-4.6k,A,0.0,50.0,12.5,0 Sal; 50 Van; 12.5 TMP,E,9,0.1099999999999999,0.5379999999999999,0.0750981396142686,WT,-3,2024-07-12,False,-2,0,2024-07-12_Neo2
F7,Neo2,pPDZ-4.6k,A,25.0,0.0,12.5,25 Sal; 0 Van; 12.5 TMP,F,7,0.0819999999999999,0.517,0.0559822495306366,WT,-3,2024-07-12,False,-2,0,2024-07-12_Neo2
F8,Neo2,pPDZ-4.6k,A,25.0,50.0,12.5,25 Sal; 50 Van; 12.5 TMP,F,8,1.4565,0.4625,0.99436763952893,WT,-3,2024-07-12,False,-2,0,2024-07-12_Neo2
