well,neo,plasmid,clone,Sal_conc,Van_conc,TMP_conc,contents,row,column,p3_single_read,p2_single_read,score,twist_name,sort_num,date,is_bad_rep,twist_pdz_number,cript_number,date_neo
F9,Neo2,pPDZ-4.6k,A,25.0,50.0,12.5,25 Sal; 50 Van; 12.5 TMP,F,9,1.473,0.448,1.0056323604710702,WT,-3,2024-07-12,False,-2,0,2024-07-12_Neo2
E4,Neo,pPDZ-4.6k,A,25.0,0.0,12.5,25 Sal; 0 Van; 12.5 TMP,E,4,0.0977499999999999,0.55775,0.0603488192622318,WT,-3,2024-07-13,False,-2,0,2024-07-13_Neo
E5,Neo,pPDZ-4.6k,A,25.0,50.0,12.5,25 Sal; 50 Van; 12.5 TMP,E,5,1.5905,0.4975,0.9819416576632196,WT,-3,2024-07-13,False,-2,0,2024-07-13_Neo
E6,Neo,pPDZ-4.6k,A,25.0,50.0,12.5,25 Sal; 50 Van; 12.5 TMP,E,6,1.649,0.477,1.0180583423367804,WT,-3,2024-07-13,False,-2,0,2024-07-13_Neo
F4,Neo,pPDZ-4.6k,A,0.0,0.0,0.0,0 Sal; 0 Van; 0.0 TMP,F,4,1.93775,0.54675,1.196326593610125,WT,-3,2024-07-13,False,-2,0,2024-07-13_Neo
F5,Neo,pPDZ-4.6k,A,0.0,0.0,12.5,0 Sal; 0 Van; 12.5 TMP,F,5,0.10225,0.5992500000000001,0.0631270257755826,WT,-3,2024-07-13,False,-2,0,2024-07-13_Neo
F6,Neo,pPDZ-4.6k,A,0.0,50.0,12.5,0 Sal; 50 Van; 12.5 TMP,F,6,0.10625,0.5142500000000001,0.0655965426763389,WT,-3,2024-07-13,False,-2,0,2024-07-13_Neo
C7,Neo2,pPDZ-4.6k,A,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,C,7,1.9815,0.5675,1.2596948506039416,WT,-3,2024-07-13,False,-2,0,2024-07-13_Neo2
C8,Neo2,pPDZ-4.6k,A,0.0,0.0,12.5,0.0 Sal; 0.0 Van; 12.5 TMP,C,8,0.1139999999999999,0.567,0.0724729815638906,WT,-3,2024-07-13,False,-2,0,2024-07-13_Neo2
C9,Neo2,pPDZ-4.6k,A,0.0,50.0,12.5,0.0 Sal; 50.0 Van; 12.5 TMP,C,9,0.1045,0.5345,0.0664335664335664,WT,-3,2024-07-13,False,-2,0,2024-07-13_Neo2
D7,Neo2,pPDZ-4.6k,A,25.0,0.0,12.5,25.0 Sal; 0.0 Van; 12.5 TMP,D,7,0.093,0.482,0.0591226954863318,WT,-3,2024-07-13,False,-2,0,2024-07-13_Neo2
D8,Neo2,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,D,8,1.565,0.446,0.9949141767323584,WT,-3,2024-07-13,False,-2,0,2024-07-13_Neo2
D9,Neo2,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,D,9,1.581,0.492,1.0050858232676414,WT,-3,2024-07-13,False,-2,0,2024-07-13_Neo2
E4,Neo,pPDZ-4.6k,A,25.0,0.0,12.5,25.0 Sal; 0.0 Van; 12.5 TMP,E,4,0.08175,0.50675,0.0589507842076798,WT,-3,2024-07-15,True,-2,0,2024-07-15_Neo
E5,Neo,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,5,1.3375,0.5125,0.9644853073733548,WT,-3,2024-07-15,True,-2,0,2024-07-15_Neo
E6,Neo,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,6,1.4360000000000002,0.451,1.035514692626645,WT,-3,2024-07-15,True,-2,0,2024-07-15_Neo
F4,Neo,pPDZ-4.6k,A,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,F,4,1.93075,0.55875,1.392284117541013,WT,-3,2024-07-15,True,-2,0,2024-07-15_Neo
F5,Neo,pPDZ-4.6k,A,0.0,0.0,12.5,0.0 Sal; 0.0 Van; 12.5 TMP,F,5,0.10225,0.53025,0.0737335496664863,WT,-3,2024-07-15,True,-2,0,2024-07-15_Neo
F6,Neo,pPDZ-4.6k,A,0.0,50.0,12.5,0.0 Sal; 50.0 Van; 12.5 TMP,F,6,0.0982499999999999,0.44025,0.0708491076257436,WT,-3,2024-07-15,True,-2,0,2024-07-15_Neo
E4,Neo,pPDZ-4.6k,A,25.0,0.0,12.5,25.0 Sal; 0.0 Van; 12.5 TMP,E,4,0.08275,0.5237499999999999,0.0547378865553166,WT,-3,2024-07-16,False,-2,0,2024-07-16_Neo
E5,Neo,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,5,1.5095,0.4155,0.9985116586737224,WT,-3,2024-07-16,False,-2,0,2024-07-16_Neo
E6,Neo,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,6,1.514,0.414,1.0014883413262774,WT,-3,2024-07-16,False,-2,0,2024-07-16_Neo
F4,Neo,pPDZ-4.6k,A,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,F,4,1.94975,0.54675,1.2897304448486853,WT,-3,2024-07-16,False,-2,0,2024-07-16_Neo
F5,Neo,pPDZ-4.6k,A,0.0,0.0,12.5,0.0 Sal; 0.0 Van; 12.5 TMP,F,5,0.09225,0.55925,0.0610219943773772,WT,-3,2024-07-16,False,-2,0,2024-07-16_Neo
F6,Neo,pPDZ-4.6k,A,0.0,50.0,12.5,0.0 Sal; 50.0 Van; 12.5 TMP,F,6,0.10925,0.49625,0.072267239953696,WT,-3,2024-07-16,False,-2,0,2024-07-16_Neo
C7,Neo2,pPDZ-4.6k,A,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,C,7,1.9705,0.5315,1.338200339558574,WT,-3,2024-07-16,False,-2,0,2024-07-16_Neo2
C8,Neo2,pPDZ-4.6k,A,0.0,0.0,12.5,0.0 Sal; 0.0 Van; 12.5 TMP,C,8,0.1039999999999999,0.546,0.0706281833616298,WT,-3,2024-07-16,False,-2,0,2024-07-16_Neo2
C9,Neo2,pPDZ-4.6k,A,0.0,50.0,12.5,0.0 Sal; 50.0 Van; 12.5 TMP,C,9,0.1085,0.5045000000000001,0.0736842105263158,WT,-3,2024-07-16,False,-2,0,2024-07-16_Neo2
D7,Neo2,pPDZ-4.6k,A,25.0,0.0,12.5,25.0 Sal; 0.0 Van; 12.5 TMP,D,7,0.086,0.472,0.0584040747028862,WT,-3,2024-07-16,False,-2,0,2024-07-16_Neo2
D8,Neo2,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,D,8,1.45,0.422,0.9847198641765704,WT,-3,2024-07-16,False,-2,0,2024-07-16_Neo2
D9,Neo2,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,D,9,1.495,0.439,1.0152801358234296,WT,-3,2024-07-16,False,-2,0,2024-07-16_Neo2
E4,Neo,pPDZ-4.6k,A,25.0,0.0,12.5,25.0 Sal; 0.0 Van; 12.5 TMP,E,4,0.08375,0.5217499999999999,0.055712622650923,WT,-3,2024-07-19,False,-2,0,2024-07-19_Neo
E5,Neo,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,5,1.4805,0.4255,0.9848661233993016,WT,-3,2024-07-19,False,-2,0,2024-07-19_Neo
E6,Neo,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,6,1.526,0.436,1.0151338766006983,WT,-3,2024-07-19,False,-2,0,2024-07-19_Neo
F4,Neo,pPDZ-4.6k,A,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,F,4,1.94075,0.55875,1.291036088474971,WT,-3,2024-07-19,False,-2,0,2024-07-19_Neo
F5,Neo,pPDZ-4.6k,A,0.0,0.0,12.5,0.0 Sal; 0.0 Van; 12.5 TMP,F,5,0.08325,0.52025,0.0553800099783801,WT,-3,2024-07-19,False,-2,0,2024-07-19_Neo
F6,Neo,pPDZ-4.6k,A,0.0,50.0,12.5,0.0 Sal; 50.0 Van; 12.5 TMP,F,6,0.11025,0.5012500000000001,0.0733410942956926,WT,-3,2024-07-19,False,-2,0,2024-07-19_Neo
C7,Neo2,pPDZ-4.6k,A,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,C,7,1.9785,0.5255,1.360729023383769,WT,-3,2024-07-19,False,-2,0,2024-07-19_Neo2
C8,Neo2,pPDZ-4.6k,A,0.0,0.0,12.5,0.0 Sal; 0.0 Van; 12.5 TMP,C,8,0.102,0.542,0.0701513067400275,WT,-3,2024-07-19,False,-2,0,2024-07-19_Neo2
C9,Neo2,pPDZ-4.6k,A,0.0,50.0,12.5,0.0 Sal; 50.0 Van; 12.5 TMP,C,9,0.1035,0.5015000000000001,0.0711829436038514,WT,-3,2024-07-19,False,-2,0,2024-07-19_Neo2
D7,Neo2,pPDZ-4.6k,A,25.0,0.0,12.5,25.0 Sal; 0.0 Van; 12.5 TMP,D,7,0.081,0.486,0.0557083906464924,WT,-3,2024-07-19,False,-2,0,2024-07-19_Neo2
D8,Neo2,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,D,8,1.419,0.383,0.9759284731774416,WT,-3,2024-07-19,False,-2,0,2024-07-19_Neo2
D9,Neo2,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,D,9,1.489,0.441,1.0240715268225584,WT,-3,2024-07-19,False,-2,0,2024-07-19_Neo2
E4,Neo,pPDZ-4.6k,A,25.0,0.0,12.5,25.0 Sal; 0.0 Van; 12.5 TMP,E,4,0.07675,0.46475,0.0548116407784324,WT,-3,2024-07-24,False,-2,0,2024-07-24_Neo
E5,Neo,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,5,1.3805,0.4225,0.9858953758257452,WT,-3,2024-07-24,False,-2,0,2024-07-24_Neo
E6,Neo,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,6,1.4200000000000002,0.405,1.0141046241742546,WT,-3,2024-07-24,False,-2,0,2024-07-24_Neo
F4,Neo,pPDZ-4.6k,A,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,F,4,1.91975,0.54575,1.3710051776468486,WT,-3,2024-07-24,False,-2,0,2024-07-24_Neo
F5,Neo,pPDZ-4.6k,A,0.0,0.0,12.5,0.0 Sal; 0.0 Van; 12.5 TMP,F,5,0.09225,0.54325,0.0658810926620246,WT,-3,2024-07-24,False,-2,0,2024-07-24_Neo
F6,Neo,pPDZ-4.6k,A,0.0,50.0,12.5,0.0 Sal; 50.0 Van; 12.5 TMP,F,6,0.10525,0.47625,0.0751651490805213,WT,-3,2024-07-24,False,-2,0,2024-07-24_Neo
E4,Neo,pPDZ-4.6k,A,25.0,0.0,12.5,25.0 Sal; 0.0 Van; 12.5 TMP,E,4,0.07875,0.44575,0.054488842760768,WT,-3,2024-11-07,False,-2,0,2024-11-07_Neo
E5,Neo,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,5,1.4185,0.4125,0.9814910915066596,WT,-3,2024-11-07,False,-2,0,2024-11-07_Neo
E6,Neo,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,6,1.472,0.43,1.0185089084933403,WT,-3,2024-11-07,False,-2,0,2024-11-07_Neo
F4,Neo,pPDZ-4.6k,A,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,F,4,1.91475,0.49375,1.3248572911261027,WT,-3,2024-11-07,False,-2,0,2024-11-07_Neo
F5,Neo,pPDZ-4.6k,A,0.0,0.0,12.5,0.0 Sal; 0.0 Van; 12.5 TMP,F,5,0.08925,0.5082500000000001,0.0617540217955371,WT,-3,2024-11-07,False,-2,0,2024-11-07_Neo
F6,Neo,pPDZ-4.6k,A,0.0,50.0,12.5,0.0 Sal; 50.0 Van; 12.5 TMP,F,6,0.1012499999999999,0.48325,0.0700570835495589,WT,-3,2024-11-07,False,-2,0,2024-11-07_Neo
C4,Neo2,pPDZ-4.6k,A,25.0,0.0,12.5,25.0 Sal; 0.0 Van; 12.5 TMP,C,4,0.081,0.451,0.0555365101131299,WT,-3,2024-11-07,False,-2,0,2024-11-07_Neo2
C5,Neo2,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,C,5,1.486,0.5479999999999999,1.0188549880013713,WT,-3,2024-11-07,False,-2,0,2024-11-07_Neo2
C6,Neo2,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,C,6,1.4309999999999998,0.388,0.9811450119986288,WT,-3,2024-11-07,False,-2,0,2024-11-07_Neo2
D4,Neo2,pPDZ-4.6k,A,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,D,4,1.847,0.505,1.2663695577648268,WT,-3,2024-11-07,False,-2,0,2024-11-07_Neo2
D5,Neo2,pPDZ-4.6k,A,0.0,0.0,12.5,0.0 Sal; 0.0 Van; 12.5 TMP,D,5,0.089,0.478,0.0610215975317106,WT,-3,2024-11-07,False,-2,0,2024-11-07_Neo2
D6,Neo2,pPDZ-4.6k,A,0.0,50.0,12.5,0.0 Sal; 50.0 Van; 12.5 TMP,D,6,0.1119999999999999,0.47,0.0767912238601302,WT,-3,2024-11-07,False,-2,0,2024-11-07_Neo2
E4,Neo,pPDZ-4.6k,A,25.0,0.0,12.5,25.0 Sal; 0.0 Van; 12.5 TMP,E,4,0.07775,0.48175,0.0528103243335031,WT,-3,2024-11-09,False,-2,0,2024-11-09_Neo
E5,Neo,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,5,1.4385,0.4175,0.977075904228222,WT,-3,2024-11-09,False,-2,0,2024-11-09_Neo
E6,Neo,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,6,1.506,0.42,1.022924095771778,WT,-3,2024-11-09,False,-2,0,2024-11-09_Neo
F4,Neo,pPDZ-4.6k,A,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,F,4,1.92475,0.55175,1.3073526914586515,WT,-3,2024-11-09,False,-2,0,2024-11-09_Neo
F5,Neo,pPDZ-4.6k,A,0.0,0.0,12.5,0.0 Sal; 0.0 Van; 12.5 TMP,F,5,0.09125,0.53925,0.0619799626422143,WT,-3,2024-11-09,False,-2,0,2024-11-09_Neo
F6,Neo,pPDZ-4.6k,A,0.0,50.0,12.5,0.0 Sal; 50.0 Van; 12.5 TMP,F,6,0.11025,0.49725,0.0748853795211411,WT,-3,2024-11-09,False,-2,0,2024-11-09_Neo
E4,Neo2,pPDZ-4.6k,A,25.0,0.0,12.5,25.0 Sal; 0.0 Van; 12.5 TMP,E,4,0.079,0.488,0.0523352103345478,WT,-3,2024-11-09,False,-2,0,2024-11-09_Neo2
E5,Neo2,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,5,1.4845,0.4205,0.9834382245776746,WT,-3,2024-11-09,False,-2,0,2024-11-09_Neo2
E6,Neo2,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,6,1.5345,0.4095,1.0165617754223253,WT,-3,2024-11-09,False,-2,0,2024-11-09_Neo2
F4,Neo2,pPDZ-4.6k,A,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,F,4,1.9015,0.5225,1.2596886386220605,WT,-3,2024-11-09,False,-2,0,2024-11-09_Neo2
F5,Neo2,pPDZ-4.6k,A,0.0,0.0,12.5,0.0 Sal; 0.0 Van; 12.5 TMP,F,5,0.093,0.5439999999999999,0.06160980457105,WT,-3,2024-11-09,False,-2,0,2024-11-09_Neo2
F6,Neo2,pPDZ-4.6k,A,0.0,50.0,12.5,0.0 Sal; 50.0 Van; 12.5 TMP,F,6,0.0999999999999999,0.495,0.066247101689301,WT,-3,2024-11-09,False,-2,0,2024-11-09_Neo2
E6,Neo,pPDZ-4.6k,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,6,1.491,0.444,1.0,WT,-3,2024-11-15,False,-2,0,2024-11-15_Neo
F6,Neo,pPDZ-4.6k,A,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,F,6,1.97425,0.56325,1.3241113346747146,WT,-3,2024-11-15,False,-2,0,2024-11-15_Neo
E6,Neo,pPDZ-4.6k,B,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,6,1.503,0.415,1.0,WT,-3,2024-08-07,False,-2,0,2024-08-07_Neo
F6,Neo,pPDZ-4.6k,B,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,F,6,1.98325,0.55525,1.3195276114437788,WT,-3,2024-08-07,False,-2,0,2024-08-07_Neo
E6,Neo,pPDZ-4.6k,B,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,6,1.502,0.409,1.0,WT,-3,2024-08-13,False,-2,0,2024-08-13_Neo
F6,Neo,pPDZ-4.6k,B,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,F,6,1.97725,0.53125,1.3164114513981358,WT,-3,2024-08-13,False,-2,0,2024-08-13_Neo
E6,Neo,pPDZ-4.6k,C,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,E,6,1.536,0.41,1.0,WT,-3,2024-08-16,False,-2,0,2024-08-16_Neo
F6,Neo,pPDZ-4.6k,C,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,F,6,1.97425,0.52425,1.2853190104166663,WT,-3,2024-08-16,False,-2,0,2024-08-16_Neo
C4,Neo,pPDZ-P4-E1,A,25.0,0.0,12.5,25.0 Sal; 0.0 Van; 12.5 TMP,C,4,0.095,0.448,0.0657325722193392,WT_15,-1,2024-11-07,False,-2,15,2024-11-07_Neo
C5,Neo,pPDZ-P4-E1,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,C,5,0.7779999999999999,0.414,0.5383151703857464,WT_15,-1,2024-11-07,False,-2,15,2024-11-07_Neo
C6,Neo,pPDZ-P4-E1,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,C,6,0.78825,0.41125,0.5454073689673067,WT_15,-1,2024-11-07,False,-2,15,2024-11-07_Neo
D4,Neo,pPDZ-P4-E1,A,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,D,4,1.92325,0.51025,1.3307386265352017,WT_15,-1,2024-11-07,False,-2,15,2024-11-07_Neo
D5,Neo,pPDZ-P4-E1,A,0.0,0.0,12.5,0.0 Sal; 0.0 Van; 12.5 TMP,D,5,0.1015,0.5135,0.0702300640027677,WT_15,-1,2024-11-07,False,-2,15,2024-11-07_Neo
D6,Neo,pPDZ-P4-E1,A,0.0,50.0,12.5,0.0 Sal; 50.0 Van; 12.5 TMP,D,6,0.088,0.496,0.0608891195294931,WT_15,-1,2024-11-07,False,-2,15,2024-11-07_Neo
C4,Neo,pPDZ-P4-E1,A,25.0,0.0,12.5,25.0 Sal; 0.0 Van; 12.5 TMP,C,4,0.104,0.5119999999999999,0.0706401766004415,WT_15,-1,2024-11-09,False,-2,15,2024-11-09_Neo
C5,Neo,pPDZ-P4-E1,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,C,5,0.7819999999999999,0.426,0.5311597894379352,WT_15,-1,2024-11-09,False,-2,15,2024-11-09_Neo
C6,Neo,pPDZ-P4-E1,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,C,6,0.79025,0.41125,0.5367634572932587,WT_15,-1,2024-11-09,False,-2,15,2024-11-09_Neo
D4,Neo,pPDZ-P4-E1,A,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,D,4,1.92925,0.53625,1.3104092375615557,WT_15,-1,2024-11-09,False,-2,15,2024-11-09_Neo
D5,Neo,pPDZ-P4-E1,A,0.0,0.0,12.5,0.0 Sal; 0.0 Van; 12.5 TMP,D,5,0.1055,0.5115,0.0716590253014094,WT_15,-1,2024-11-09,False,-2,15,2024-11-09_Neo
D6,Neo,pPDZ-P4-E1,A,0.0,50.0,12.5,0.0 Sal; 50.0 Van; 12.5 TMP,D,6,0.0919999999999999,0.462,0.0624893869926982,WT_15,-1,2024-11-09,False,-2,15,2024-11-09_Neo
C10,Neo,pPDZ-P4-E1,B,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,C,10,0.82375,0.48275,0.5524815560026827,WT_15,-1,2024-11-15,False,-2,15,2024-11-15_Neo
D10,Neo,pPDZ-P4-E1,B,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,D,10,1.91225,0.58325,1.2825285043594905,WT_15,-1,2024-11-15,False,-2,15,2024-11-15_Neo
A4,Neo2,pPDZ-P3-E4,A,25.0,0.0,12.5,25.0 Sal; 0.0 Van; 12.5 TMP,A,4,0.091,0.482,0.0623928693863558,WT_18,-1,2024-11-07,False,-2,18,2024-11-07_Neo2
A5,Neo2,pPDZ-P3-E4,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,A,5,0.2625,0.4305,0.1799794309221803,WT_18,-1,2024-11-07,False,-2,18,2024-11-07_Neo2
A6,Neo2,pPDZ-P3-E4,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,A,6,0.2545,0.4335,0.1744943435035996,WT_18,-1,2024-11-07,False,-2,18,2024-11-07_Neo2
B4,Neo2,pPDZ-P3-E4,A,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,B,4,1.8325,0.4935,1.2564278368186494,WT_18,-1,2024-11-07,False,-2,18,2024-11-07_Neo2
B5,Neo2,pPDZ-P3-E4,A,0.0,0.0,12.5,0.0 Sal; 0.0 Van; 12.5 TMP,B,5,0.094,0.517,0.0644497771683236,WT_18,-1,2024-11-07,False,-2,18,2024-11-07_Neo2
B6,Neo2,pPDZ-P3-E4,A,0.0,50.0,12.5,0.0 Sal; 50.0 Van; 12.5 TMP,B,6,0.087,0.487,0.0596503256770654,WT_18,-1,2024-11-07,False,-2,18,2024-11-07_Neo2
C4,Neo2,pPDZ-P3-E4,A,25.0,0.0,12.5,25.0 Sal; 0.0 Van; 12.5 TMP,C,4,0.088,0.4839999999999999,0.0582974494865849,WT_18,-1,2024-11-09,False,-2,18,2024-11-09_Neo2
C5,Neo2,pPDZ-P3-E4,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,C,5,0.243,0.441,0.1609804571050016,WT_18,-1,2024-11-09,False,-2,18,2024-11-09_Neo2
C6,Neo2,pPDZ-P3-E4,A,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,C,6,0.292,0.393,0.1934415369327592,WT_18,-1,2024-11-09,False,-2,18,2024-11-09_Neo2
D4,Neo2,pPDZ-P3-E4,A,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,D,4,1.857,0.525,1.2302086783703212,WT_18,-1,2024-11-09,False,-2,18,2024-11-09_Neo2
D5,Neo2,pPDZ-P3-E4,A,0.0,0.0,12.5,0.0 Sal; 0.0 Van; 12.5 TMP,D,5,0.1,0.518,0.066247101689301,WT_18,-1,2024-11-09,False,-2,18,2024-11-09_Neo2
D6,Neo2,pPDZ-P3-E4,A,0.0,50.0,12.5,0.0 Sal; 50.0 Van; 12.5 TMP,D,6,0.095,0.477,0.062934746604836,WT_18,-1,2024-11-09,False,-2,18,2024-11-09_Neo2
A9,Neo,pPDZ-P3-E4,B,0.0,0.0,0.0,0.0 Sal; 0.0 Van; 0.0 TMP,A,9,1.948,0.5820000000000001,1.306505700871898,WT_18,-1,2024-11-15,False,-2,18,2024-11-15_Neo
B9,Neo,pPDZ-P3-E4,B,25.0,50.0,12.5,25.0 Sal; 50.0 Van; 12.5 TMP,B,9,0.23925,0.48425,0.1604627766599597,WT_18,-1,2024-11-15,False,-2,18,2024-11-15_Neo
A1,Neo,pPDZ-P1-A1,A,0.0,0.0,0.0,0 Sal; 0 Van; 0.0 TMP,A,1,1.9465,0.5825,1.3123209169054442,wt_0,-3,2024-07-12,True,-1,0,2024-07-12_Neo
A2,Neo,pPDZ-P1-A1,A,0.0,0.0,12.5,0 Sal; 0 Van; 12.5 TMP,A,2,0.1035,0.5735,0.0697792010787123,wt_0,-3,2024-07-12,True,-1,0,2024-07-12_Neo
A3,Neo,pPDZ-P1-A1,A,0.0,50.0,12.5,0 Sal; 50 Van; 12.5 TMP,A,3,0.1125,0.5375,0.0758469576942525,wt_0,-3,2024-07-12,True,-1,0,2024-07-12_Neo
