PDZ,PDZ_WT,PDZ_WT,PDZ_WT,Homolog_09,Homolog_09,Homolog_09,Homolog_11,Homolog_11,Homolog_11,Homolog_36,Homolog_36,Homolog_36
Peptide,Nat18,Nat18,Nat18,Nat18,Nat18,Nat18,Nat18,Nat18,Nat18,Nat18,Nat18,Nat18
Time (s),BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response
0,0.02320508,0.02574979,0.0328509,-0.00291457,-0.0033374,-0.00065034,-0.00152279,0.00261451,0.004495,0.00088442,-0.00218675,-0.01055169
0.2,0.02977915,0.03565722,0.03645293,0.0018139,0.00292757,0.00121535,0.00480006,0.00623293,0.00146344,-0.00050162,-0.00341176,-0.00623632
0.4,0.02803553,0.03777151,0.03748844,0.0012477,0.00347764,0.00064464,0.00138789,0.01257387,0.00453619,0.00052563,-0.00529422,-0.00568772
0.6,0.02690859,0.03802036,0.04174612,0.00507855,0.00457166,0.00647995,0.00913481,0.00853243,0.00796657,0.00049014,-0.00221087,-0.00459358
0.8,0.02992661,0.03927379,0.03752969,0.00412375,0.00437781,-0.00083115,0.01035859,0.01275147,0.00869916,0.00083151,-0.00282472,-0.0072325
1,0.02936057,0.03602993,0.04026906,0.0011495,0.00834031,0.00338041,0.01076061,0.01016092,0.00714871,-0.00025016,-0.00452553,-0.00668387
1.2,0.02946032,0.0343295,0.03858826,0.00272753,0.00534737,0.00224094,0.00851328,0.01135892,0.00462218,0.00099891,-0.00691313,-0.0021371
1.4,0.02993451,0.04085537,0.04099877,0.0061946,0.00805096,0.00348289,0.01185989,0.00952639,0.01022404,0.00095951,-0.00545818,-0.00243357
1.6,0.03139351,0.04081096,0.03999923,0.00754143,0.00181143,0.00427161,0.01250742,0.01453318,0.00799913,0.00114627,-0.00115977,-0.00271398
1.8,0.03071369,0.03911047,0.03589986,0.00453318,0.00520062,0.00737363,0.01275904,0.01211339,0.00834482,0.00197266,-0.00766978,-0.00834976
