PDZ,PDZ_WT,PDZ_WT,PDZ_WT,Homolog_09,Homolog_09,Homolog_09,Homolog_11,Homolog_11,Homolog_11,Homolog_36,Homolog_36,Homolog_36
Peptide,CRIPT,CRIPT,CRIPT,CRIPT,CRIPT,CRIPT,CRIPT,CRIPT,CRIPT,CRIPT,CRIPT,CRIPT
Time (s),BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response
0,0.45763192,0.5184725,0.48948319,0.21993807,0.24842938,0.1990785,0.10435248,0.12072145,0.14154856,0.02342644,0.02534119,0.02680446
0.2,0.61656705,0.66295166,0.651738,0.27943208,0.3041155,0.2752626,0.14388603,0.14565067,0.16059082,0.02787923,0.02128411,0.02540846
0.4,0.72074286,0.74406833,0.75437267,0.30508187,0.32193169,0.30887956,0.15428919,0.15768485,0.16418414,0.03388157,0.02887908,0.03093185
0.6,0.78197328,0.78634078,0.80595835,0.3140594,0.33136406,0.32206369,0.1604442,0.16380976,0.17562794,0.0320163,0.03030539,0.02962692
0.8,0.81349734,0.81607623,0.83943291,0.31678763,0.3362908,0.32693041,0.16522157,0.16540657,0.176122,0.03625595,0.02787367,0.02960174
1,0.82855896,0.82974608,0.86102791,0.3238255,0.34305241,0.33201218,0.16646654,0.16857563,0.18005108,0.0330623,0.02861504,0.0302283
1.2,0.84203461,0.83841796,0.86841901,0.32695916,0.34007296,0.33161944,0.16820514,0.17234378,0.18236326,0.03306081,0.03095851,0.03323327
1.4,0.85301224,0.8472975,0.87443979,0.32622215,0.3432351,0.33225256,0.17509103,0.17437075,0.18112319,0.03496161,0.02602054,0.02967925
1.6,0.85655681,0.84916301,0.87957974,0.32908603,0.34239015,0.33393574,0.17590332,0.18084906,0.18728088,0.03255245,0.02870319,0.0294006
1.8,0.86224381,0.85076685,0.88764174,0.32772013,0.34317991,0.33411598,0.17746455,0.1841027,0.19128941,0.03345784,0.02764011,0.03074528
2,0.86698583,0.85605259,0.89522596,0.32107761,0.34157249,0.33345616,0.17982316,0.18137573,0.18933182,0.03207319,0.02173571,0.03259675
2.2,0.87000827,0.86335022,0.8937759,0.32533189,0.34549746,0.33707214,0.18318594,0.18721394,0.19113653,0.03139656,0.02777381,0.02960278
2.4,0.87182752,0.86717279,0.89831193,0.32835939,0.34726581,0.33352846,0.19093329,0.18676321,0.19574343,0.03407356,0.02879692,0.0303423
2.6,0.87557045,0.86903484,0.89882894,0.32632407,0.35201451,0.33650774,0.18689269,0.19052737,0.19596647,0.03521519,0.02885143,0.0266452
2.8,0.88087896,0.86693759,0.90526874,0.32931563,0.34989246,0.33876711,0.19357646,0.19136022,0.19981997,0.03480204,0.02744616,0.03086422
3,0.88051013,0.87364967,0.90674611,0.33131447,0.34908399,0.33538139,0.19662905,0.19402461,0.2013539,0.03650534,0.02975927,0.03230409
