PDZ,PDZ_WT,PDZ_WT,PDZ_WT,Homolog_09,Homolog_09,Homolog_09,Homolog_11,Homolog_11,Homolog_11,Homolog_36,Homolog_36,Homolog_36
3,0.02277035,0.03934275,0.04006404,0.00035228,-0.00197895,0.00516512,0.00936196,0.00799761,0.00765831,-0.00445968,-0.0024279,-0.00232558
3.2,0.02269581,0.03693076,0.03773249,0.00312911,0.00005157,0.00055213,0.00688053,0.00942496,0.00631813,0.00254625,-0.00388991,-0.00611539
3.4,0.02834937,0.03544455,0.04154105,0.00323354,0.00004942,0.00528507,0.00661585,0.00732074,0.00362736,-0.00275293,-0.00188419,-0.00128363
3.6,0.02578795,0.03366753,0.0403201,0.0062318,-0.00111883,0.00235452,0.00701521,0.01157815,0.0082216,-0.00126502,-0.00220254,-0.00576053
3.8,0.02681026,0.03340303,0.03928775,0.00648589,0.00036467,0.00140144,0.00801424,0.00237999,0.00216121,-0.0023951,-0.00410413,-0.00215508
4,0.0195992,0.03603815,0.03943119,0.00991644,0.00465478,0.00090943,0.00309623,0.00771002,0.007002,-0.00717557,0.00042725,0.00154738
4.2,0.02635199,0.03845965,0.03609902,0.00758083,0.00145294,0.00290348,0.00913686,0.00655789,0.00639952,-0.00337163,-0.00346997,-0.00093467
4.4,0.02576405,0.03746884,0.03108627,0.00615783,0.00075431,0.00779943,0.00690309,0.00428648,0.00831408,-0.00419286,0.00148476,-0.00366174
4.6,0.02605218,0.03740432,0.03348011,0.01518638,0.00189249,0.01067852,0.00432978,0.00788657,0.0020079,-0.00244025,-0.00276592,-0.00238149
4.8,0.02339783,0.03403147,0.03660647,0.00492369,0.00216271,0.00701399,0.00743783,0.0081505,0.01150591,-0.00113425,-0.00260883,-0.00566791
5,0.02557755,0.03625392,0.03354708,0.00271357,-0.00059669,0.00398959,0.00341866,0.00931234,0.01254315,-0.00100276,-0.00318229,0.00173812
5.2,0.03018382,0.03388341,0.03743905,0.00795348,-0.00130518,0.00522854,0.0098753,0.00770296,0.00375694,-0.00080043,-0.00240326,-0.00181399
5.4,0.021139,0.03517287,0.03998954,0.00744034,-0.00083272,0.00787909,0.00642378,0.00662155,0.00620923,-0.00495142,-0.00384724,0.00193672
5.6,0.02693194,0.03503113,0.03553469,0.01329319,0.00190933,0.00578018,0.00860576,0.00499467,0.00637991,-0.00030986,0.00111694,-0.00219987
5.8,0.02401066,0.0394737,0.03648589,0.00555749,0.00211216,0.00967305,0.00630573,0.00791032,0.01181084,-0.00039566,0.0045538,-0.00360282
6,0.0271565,0.03400563,0.03875104,0.01010726,0.00669966,0.00421979,0.0100577,0.00802968,0.01085624,-0.00334996,-0.0030213,-0.0038337
6.2,0.02307767,0.03612294,0.03638438,0.0061958,0.00254719,0.00577976,0.00581408,0.00652362,0.00516555,-0.00400925,-0.00227743,-0.00503285
6.4,0.02655169,0.03637924,0.03019477,0.00831242,0.0035816,0.00460629,0.00195897,0.00627617,0.00848386,-0.00152168,-0.00200984,-0.0009508
6.6,0.02642673,0.03286116,0.03893454,0.01081712,0.00458802,0.00828134,0.01010574,0.00795604,0.00368521,-0.00107128,-0.00008812,-0.00327663
6.8,0.02192876,0.03221428,0.03331063,0.00795652,0.00198556,0.00928353,0.00703857,0.00460682,0.00816411,0.00147426,0.00114447,-0.00565643
7,0.02385557,0.03424617,0.03239161,0.0092325,0.00409175,0.00714134,0.00746996,0.00553591,0.0087809,-0.00478342,0.0002611,-0.00664304
7.2,0.02206698,0.0329281,0.03504679,0.00817536,0.00324426,0.00605352,0.01156638,0.00815351,0.00595987,-0.0024949,-0.00068605,-0.00004716
7.4,0.02248588,0.03502338,0.03254414,0.00832413,-0.00145732,0.01138179,0.00533438,0.00543053,0.01346681,-0.00344694,-0.00204348,0.00425924
7.6,0.02170545,0.03293794,0.03218753,0.01190771,-0.00075133,0.00559704,0.00430904,0.00732789,0.00574935,-0.0036822,0.00009379,-0.00023983
7.8,0.0243097,0.03468423,0.03234789,0.00841842,0.00323622,0.00436683,0.00970957,0.00715167,0.00674978,-0.00025353,0.00524405,-0.00196351
8,0.0233838,0.03713091,0.03543243,0.00863244,0.00536053,0.00394593,-0.00024541,0.00415973,0.00653878,-0.00393471,0.00439352,-0.00159247
8.2,0.02590323,0.03429707,0.03235174,0.01123942,0.00419979,0.00811727,0.00742454,0.00632701,0.00532318,0.00103283,-0.00350761,-0.00173803
8.4,0.01875231,0.03186502,0.03492216,0.00891946,0.000331,0.00578989,0.01172096,0.0081541,0.00872639,-0.00177846,-0.0011734,-0.00641681
8.6,0.02454847,0.03907358,0.03511912,0.00803889,0.00398068,0.01033317,0.00675688,0.006782,0.00472251,-0.0041574,-0.00071522,-0.00201522
8.8,0.0223186,0.03496223,0.03611947,0.00763626,0.00362406,0.0092191,0.00289846,0.00522954,0.00828943,-0.00113735,-0.00122901,-0.00413366
9,0.02461431,0.03229051,0.04019675,0.00617741,0.00569282,0.00739418,0.00718866,0.00278366,0.00753037,-0.00437945,0.00020752,-0.00416867
9.2,0.02519652,0.03767144,0.03249315,0.00850151,0.0000879,0.00799312,0.00998396,0.00742749,0.01089648,-0.00216168,-0.00030794,-0.0006706
9.4,0.02580068,0.03309133,0.03544123,0.00517996,0.00288383,0.00236918,0.00730232,0.00364966,0.00780657,-0.00273219,0.00082818,-0.00452761
9.6,0.02224934,0.03661897,0.03739998,0.0090269,0.0037203,0.00740902,0.00582168,0.00900389,0.00949207,-0.00186783,0.00000567,-0.00422422
9.8,0.03092691,0.0364685,0.03313184,0.00859032,-0.00175508,0.00774847,0.00304424,0.0057997,0.00741843,-0.00166899,-0.00229296,-0.00275849
10,0.02472824,0.0321707,0.03468174,0.0081139,0.00495739,0.00702943,0.00471256,0.00646491,0.00696838,-0.00382948,0.00301341,-0.0034975
10.2,0.02361944,0.03620668,0.03462274,0.00562321,0.00277363,0.00857286,0.0074989,0.00779522,0.0055624,-0.00095356,0.00045976,-0.00166447
10.4,0.02312052,0.03427546,0.035592,0.00868873,0.00469632,0.00694136,0.00700874,0.00748766,0.01013127,-0.00177518,-0.00220719,-0.00160266
10.6,0.02010274,0.02842601,0.03643191,0.01034076,0.00233142,0.004097,0.00373695,0.00928895,0.01309976,-0.00045836,-0.00150936,-0.00127424
10.8,0.02374685,0.03184556,0.03888649,0.00876911,0.00587554,0.0097283,0.00933538,0.00258476,0.00535027,-0.00383869,0.00086949,-0.00228904
11,0.02292696,0.03147589,0.03395305,0.00680454,0.00275548,0.00600226,0.00270853,0.00959344,0.01052612,-0.0005742,0.00007055,-0.00268571
11.2,0.02269617,0.03147315,0.03738848,0.00493358,0.00695143,0.00865473,0.00814167,0.00670988,0.00985793,-0.00104863,0.00139007,0.00067105
11.4,0.02237624,0.03119977,0.03335155,0.00901477,0.00064189,0.01208834,0.00937215,0.00493337,0.00783381,-0.00614882,-0.0008251,-0.00519635
11.6,0.02609575,0.03178703,0.0342446,0.00687607,0.00484122,0.01039674,0.00661496,0.00856353,0.00533227,-0.00101358,0.00154975,-0.0019985
11.8,0.0229626,0.03131758,0.03339506,0.00465463,0.00522156,0.00674378,0.00546543,0.00865544,0.00844965,0.00329211,-0.00467458,-0.00197027
12,0.02357057,0.0338993,0.03312869,0.01012133,0.00858919,0.00777589,0.00649051,0.00488208,0.00454083,-0.00222439,-0.00038638,-0.00449823
12.2,0.0221051,0.03359323,0.03435666,0.0100504,0.00408981,0.01017077,0.00560037,0.00501517,0.00858525,-0.00229278,-0.00228631,-0.00239538
12.4,0.02440664,0.03253921,0.03421024,0.00918545,0.00502781,0.00968717,0.01084659,0.00825931,0.01250959,-0.00225574,-0.00101134,-0.0007251
12.6,0.02050951,0.0343148,0.03511063,0.01165773,0.00157462,0.0088815,0.00784902,0.00626172,0.01102731,-0.00089035,-0.00137138,-0.0000646
12.8,0.0261417,0.03403398,0.03405032,0.00771715,0.00172446,0.00541727,0.01149449,0.00595618,0.00883702,-0.003815,0.00208295,-0.00235458
13,0.01983208,0.03063052,0.03313542,0.00711734,0.00032781,0.00951283,0.00787181,0.00917048,0.01112605,-0.00378469,-0.00318834,0.00117608
13.2,0.02392703,0.03595769,0.035911,0.0096543,0.0033084,0.0059716,0.00869576,0.00454304,0.00733099,-0.0002563,0.00069985,-0.00362919
13.4,0.02094868,0.03549947,0.03863195,0.00988074,0.00906391,0.00442769,0.00615636,0.00936464,0.014509,-0.00168211,-0.00146401,0.00080006
13.6,0.02294389,0.03406518,0.03325219,0.01102535,0.00137515,0.00392507,0.00730515,0.00709463,0.01014549,-0.00083396,-0.00287425,-0.00257291
13.8,0.02275753,0.03604855,0.02984065,0.00734855,0.00560696,0.0076557,0.00548971,0.00584597,0.00751743,-0.00154183,0.00316981,0.00046845
14,0.02299306,0.03518749,0.03232293,0.00614624,0.00388045,0.00649829,0.0121626,0.00668834,0.00967691,-0.00314653,-0.00146371,0.00164999
14.2,0.0252316,0.03047257,0.03520963,0.01098265,0.00258769,0.01192217,0.00631417,0.00579868,0.00611017,-0.00409585,-0.00460928,0.00179218
14.4,0.02443394,0.0339142,0.02909166,0.01170356,0.0033272,0.00947888,0.00280569,0.00432179,0.00946474,-0.00238785,-0.00182303,-0.00401763
14.6,0.02239394,0.03233247,0.0319962,0.00786279,0.00614469,0.00326361,0.00732563,0.00649048,0.00740493,-0.00398404,-0.00022632,-0.00225006
14.8,0.02301678,0.02909782,0.03510512,0.00725599,0.01028166,0.00546511,0.00529597,0.00306667,0.00552822,-0.00159315,0.00036657,-0.00018372
15,0.02594787,0.03230088,0.02723057,0.00897179,0.0070817,0.00865401,0.00656695,0.00555319,0.00739992,0.00146624,-0.0002433,-0.00116177
15.2,0.02512685,0.032312,0.03594074,0.01116855,0.00433521,0.00435306,0.00888938,0.00718717,0.00374893,0.00151393,0.0004642,-0.00251169
15.4,0.02359036,0.03096395,0.03566728,0.00893794,0.00810127,0.00850923,0.0066512,0.00549103,0.00609708,-0.00541348,-0.00349155,-0.00216491
15.6,0.02093557,0.03317758,0.03343982,0.01102586,0.00485216,0.00538282,0.00879396,0.00623537,0.00608081,-0.00011137,0.00319949,0.00167914
15.8,0.02502015,0.03331201,0.0344641,0.01281847,0.00538949,0.00951131,0.00820962,0.00441907,0.00892252,-0.0026184,0.00115163,-0.00423439
16,0.02834541,0.02948373,0.03151361,0.00605182,0.00129281,0.00984688,0.01214785,0.00936679,0.00890717,0.00030163,0.00011859,-0.00191654
16.2,0.02066803,0.0329304,0.03236131,0.01281462,0.00709589,0.01409941,0.00692097,0.00695587,0.00454566,0.00016007,-0.00571304,-0.00363128
16.4,0.0198341,0.03301065,0.03359381,0.00905089,0.00480668,0.01002257,0.00550247,0.00580866,0.00602326,0.00131961,0.00105268,-0.0046526
16.6,0.0174076,0.03174921,0.03125033,0.01054512,0.00394191,0.00632064,0.00691084,0.00864504,0.0088951,-0.00414217,0.00054035,-0.00022532
16.8,0.02750275,0.03298788,0.0325836,0.00876702,0.00323088,0.01108469,0.00848342,0.00828663,0.0114443,0.00282216,0.00067574,0.00001879
17,0.02072752,0.03265523,0.04111344,0.00828026,0.00249718,0.00750251,0.00570685,0.00790487,0.00827116,-0.00057414,-0.00264528,0.00466462
17.2,0.02284858,0.03444483,0.03373168,0.00813968,0.00555284,0.00654711,0.00637431,0.00464649,0.00870887,-0.00134185,-0.00017234,-0.00225018
17.4,0.0226641,0.03148954,0.03584123,0.01143072,0.0039822,0.00960122,0.00791482,0.00757907,0.00920916,-0.00060791,0.00070674,-0.00118242
17.6,0.02629537,0.03098764,0.03264905,0.00837873,0.00838719,0.01120176,0.01003832,0.00776009,0.0093886,-0.00437477,-0.00220719,-0.00469582
17.8,0.02276471,0.03119304,0.03492144,0.00900973,0.0054364,0.00856702,0.00838805,0.0054367,0.00997404,-0.0014275,0.00052104,0.00074111
18,0.02248666,0.03253274,0.03986225,0.01092316,0.00655342,0.0115483,0.00704852,0.0086037,0.00886083,0.00084221,0.00155405,-0.00122003
18.2,0.02224636,0.0370337,0.03392685,0.00895895,0.00457336,0.00295185,0.00486998,0.00591112,0.00683567,-0.00412283,-0.00078714,-0.00306199
18.4,0.02205268,0.03006368,0.03624651,0.0119449,0.00260712,0.01296209,0.01101006,0.01137827,0.0077599,-0.00294552,-0.0007306,-0.00646074
18.6,0.01386818,0.03511687,0.0330489,0.00908728,0.0036074,0.01147632,0.00659058,0.00824119,0.01222173,-0.00454661,-0.00178897,-0.00628449
18.8,0.02366468,0.0356647,0.03436137,0.01430211,0.00388539,0.01165717,0.00326837,0.00824169,0.01089293,-0.00020609,0.00101585,0.00162842
19,0.02030048,0.03187185,0.03473524,0.0118158,0.00702904,0.00809287,0.00768467,0.00727409,0.0106785,-0.00606027,0.00399033,-0.0024118
19.2,0.02160195,0.03484746,0.03100736,0.00922958,0.0081831,0.01172711,0.00984455,0.00618146,0.00760204,0.00389233,0.00327993,-0.00358294
19.4,0.02340129,0.03505333,0.03442115,0.0088224,0.009407,0.01240967,0.00738392,0.00383986,0.00699649,-0.00174329,0.00054285,-0.00189341
19.6,0.02091053,0.03033884,0.03194211,0.00693212,0.00422634,0.01130064,0.00633887,0.0073464,0.01098067,-0.00123641,0.00068862,-0.00213741
19.8,0.02287319,0.03320467,0.03421501,0.00915427,0.0089551,0.0075178,0.0062174,0.00423987,0.00835574,-0.00343761,0.00090579,0.00163038
20,0.02230495,0.03387367,0.03499506,0.00860222,0.00870834,0.00876986,0.00975681,0.00985769,0.00627563,-0.00178638,-0.00229513,-0.00288291
20.2,0.02570075,0.03333127,0.0316228,0.01106368,0.00217493,0.01402401,0.00759051,0.00609595,0.0058465,-0.00343216,-0.00270268,-0.00219606
20.4,0.02557862,0.03126325,0.03173561,0.00771294,0.00546367,0.01070501,0.00459272,0.00576294,0.00912881,-0.00410956,-0.00059807,-0.00081675
20.6,0.01825962,0.03323405,0.03550777,0.0089211,0.01235009,0.00620677,0.00621156,0.00499223,0.01343531,0.00164672,0.00116665,-0.00402038
20.8,0.02056918,0.0313574,0.0335638,0.01215894,0.00870885,0.01313429,0.00812233,0.0092058,0.00776047,-0.00057486,0.00157494,-0.00179277
21,0.0217796,0.03030985,0.03414429,0.00559546,0.00433089,0.00966729,0.00590227,0.00819362,0.00984821,-0.00256258,0.00205279,-0.00070198
21.2,0.02077833,0.03266435,0.03554032,0.00849943,0.0012569,0.00879224,0.00850178,0.01260982,0.01074666,-0.00004471,0.00030917,0.00137507
21.4,0.02340838,0.03214993,0.03652445,0.00815116,0.00623621,0.01745443,0.00895564,0.0071388,0.00909967,-0.00371567,-0.00109434,-0.00211759
21.6,0.02002835,0.03162732,0.03672246,0.00887976,0.00625069,0.01217009,0.00525025,0.00745747,0.00807646,-0.00220314,0.00105554,0.00025995
21.8,0.02069116,0.02978655,0.03536413,0.00665699,0.00678475,0.00739257,0.00764249,0.00749529,0.00810001,-0.00147629,0.00113812,-0.00249432
22,0.01777727,0.03546028,0.03381047,0.01045729,0.0049413,0.01229642,0.00941766,0.00807835,0.00793508,-0.00285688,0.00016898,-0.00486003
22.2,0.01988599,0.03071117,0.03277392,0.00891064,0.00719787,0.0094852,0.01080335,0.0066788,0.01389566,0.000651,-0.00026086,0.0009505
22.4,0.02102694,0.03072198,0.03508533,0.01361628,0.00694267,0.01258372,0.00761104,0.00845281,0.01423157,-0.00221491,0.00161255,-0.00009061
22.6,0.02168861,0.02715003,0.0289642,0.00942083,0.00531949,0.00831096,0.0032785,0.00740386,0.00955558,-0.00307703,0.00084889,0.00141306
22.8,0.02208674,0.03130936,0.03076736,0.0082197,0.00655986,0.00863366,0.01307846,0.00936294,0.00796146,-0.00223273,0.00057266,0.00078292
23,0.02196577,0.03555655,0.03951836,0.01562826,0.00715531,0.00734715,0.0064979,0.0046486,0.00685081,-0.00233874,0.00106636,0.00120659
23.2,0.02119297,0.03014069,0.03291897,0.01538314,0.00476007,0.01118322,0.00396786,0.00454072,0.01003984,-0.00434992,0.0031606,0.00113522
23.4,0.02175117,0.0322219,0.03302929,0.00524835,0.01041524,0.00356175,0.00924809,0.00807602,0.01308516,-0.00251991,-0.00159302,-0.00181575
23.6,0.0196667,0.03219249,0.03439633,0.00860156,0.00238432,0.0089656,0.00640903,0.01245586,0.01021973,-0.00076169,-0.00069907,-0.00267629
23.8,0.02286881,0.03523429,0.0325664,0.00583367,0.00564106,0.01050435,0.00633956,0.00306273,0.00692141,-0.00280956,0.00078074,-0.00372435
24,0.0250935,0.03193699,0.0336319,0.01099779,0.00619413,0.010758,0.00531102,0.00659493,0.01221809,-0.00029475,-0.00352901,-0.00360732
24.2,0.02303285,0.02958753,0.03389368,0.0067731,0.00715853,0.00851803,0.01205859,0.0057979,0.00552977,-0.00042263,0.00356973,-0.00214507
24.4,0.02348131,0.02954265,0.03628716,0.01071413,0.00295903,0.01232965,0.00974704,0.00726215,0.00914297,-0.00432906,-0.00015074,-0.00003113
24.6,0.02253413,0.03301828,0.03340015,0.0127704,0.00284843,0.01187061,0.00394929,0.00569881,0.01264143,-0.0024201,0.00221476,-0.0026993
24.8,0.02282548,0.03294658,0.03223709,0.01179714,0.00606347,0.00880905,0.00704119,0.00951145,0.00405121,-0.00328928,0.00224543,0.00207289
25,0.02251312,0.03189441,0.03823639,0.01453589,0.01103569,0.01141544,0.00570849,0.0048976,0.00567902,-0.00428659,0.00066406,-0.00038446
25.2,0.02319315,0.03565799,0.03047851,0.0120836,0.00604115,0.00899162,0.01166172,0.00594408,0.0086858,-0.00089512,-0.00323403,0.00112437
25.4,0.02121881,0.03237583,0.03356112,0.01212518,0.00638605,0.00904621,0.00756557,0.00974891,0.00938037,0.00065455,0.00179896,0.00171588
25.6,0.02323088,0.03041013,0.02981875,0.01239873,0.00582461,0.00698136,0.00538559,0.00624789,0.00904647,-0.00441456,0.00187841,0.0010889
25.8,0.02089256,0.02892014,0.03429485,0.01338239,0.01033993,0.00971623,0.00880796,0.0061403,0.01184124,0.00147733,0.00373623,-0.00340594
26,0.02432421,0.0350275,0.03615192,0.01519729,0.00306014,0.00956003,0.00474567,0.01034305,0.0096978,-0.00324199,-0.00145742,0.00413256
26.2,0.02144003,0.03008359,0.03392012,0.01404638,0.00826339,0.0132172,0.0096812,0.00741599,0.00688395,-0.00316221,-0.00341344,-0.00043367
26.4,0.01865795,0.03039255,0.03437475,0.01582022,0.00451313,0.00964452,0.01224688,0.00865076,0.00694847,-0.00264871,-0.00026407,-0.00260861
26.6,0.02427659,0.03172623,0.03369609,0.00711898,0.00551097,0.01300804,0.00708855,0.00665216,0.00737533,-0.00147102,-0.00055208,-0.00057553
26.8,0.01864338,0.0345568,0.03337938,0.01280282,0.01075802,0.00958316,0.01100004,0.00559405,0.01268071,-0.00109226,0.00263137,-0.00130157
27,0.02145338,0.03664975,0.02976412,0.01290707,0.00558732,0.01395689,0.00862599,0.00965501,0.01021366,-0.000395,0.00382728,-0.00243245
27.2,0.01705676,0.02802186,0.0313404,0.00974078,0.00583569,0.00803165,0.00745744,0.00275964,0.01044381,-0.00281805,0.00524494,-0.00446133
27.4,0.02684868,0.03294437,0.03497771,0.01128961,0.00598587,0.00862156,0.00684977,0.00678507,0.0140256,-0.00180757,0.00100494,-0.00329773
27.6,0.01965281,0.03061562,0.02798162,0.01015375,0.00793738,0.00557621,0.00458071,0.00932963,0.00667984,-0.00281033,-0.00544092,-0.00130282
27.8,0.02069548,0.03008886,0.03177727,0.01319845,0.00616894,0.00641628,0.00904007,0.00276942,0.01298619,-0.0008497,-0.00204298,-0.00272702
28,0.0251613,0.03016951,0.03507856,0.01597394,0.00601567,0.00973459,0.01335129,0.00694503,0.00984408,-0.004289,0.00140053,-0.00107415
28.2,0.02088389,0.03051411,0.03438923,0.01138706,0.00508736,0.00433777,0.00688116,0.00793228,0.00979373,0.00316477,-0.0010426,-0.00181956
28.4,0.02135655,0.03465219,0.02928937,0.01535265,0.00416822,0.01014529,0.00962055,0.00816883,0.00962767,-0.00247211,-0.00090804,0.00244515
28.6,0.02278283,0.02984127,0.03386167,0.01321603,0.0061634,0.01104547,0.00952757,0.00836096,0.00492445,-0.00186867,0.00001789,-0.00066973
28.8,0.02300635,0.0289415,0.03340307,0.01226495,0.00882931,0.01150827,0.00640965,0.00551555,0.00623858,-0.00136006,0.00120122,0.00035288
29,0.02403513,0.0297296,0.03129203,0.00850282,0.00782861,0.00819145,0.00652743,0.00801564,0.00836653,-0.00040519,0.00241083,0.00173466
29.2,0.02040601,0.03240212,0.03364143,0.01452444,0.00571282,0.00781299,0.00585432,0.00996596,0.01009059,-0.00190681,0.00411493,0.00158651
29.4,0.01566261,0.02911337,0.03108651,0.01334108,0.01043315,0.01048584,0.00777478,0.00612752,0.0101446,-0.00117699,0.00067678,-0.00415031
29.6,0.02311695,0.03235771,0.03190953,0.01082431,0.00674195,0.01212241,0.00784404,0.00727267,0.00588894,0.00021252,0.00082213,-0.00035529
29.8,0.02062428,0.03271525,0.03097991,0.01195027,0.01198838,0.01216842,0.00870086,0.00261883,0.00964323,-0.00283712,0.00215364,0.00163897
30,0.02209371,0.03506505,0.03008265,0.01208557,0.00503532,0.01218327,0.00850631,0.00851578,0.008427,-0.0039846,0.00045991,-0.00562192
30.2,0.02752775,0.03255676,0.03029436,0.01179124,0.00765691,0.01087205,0.0095541,0.00505725,0.00991205,-0.00043181,0.00493071,-0.00225462
30.4,0.02152994,0.03215226,0.03343347,0.01101039,0.0096256,0.01242332,0.01287434,0.00850169,0.00963921,-0.00369221,-0.00326165,-0.00226246
30.6,0.02108938,0.03342008,0.02960835,0.01162983,0.00695191,0.01345392,0.01104654,0.00543035,0.0070073,-0.00109905,0.00316069,-0.00385685
30.8,0.01745391,0.0309708,0.03284419,0.01470528,0.00739299,0.01180874,0.00574983,0.00458316,0.01158697,-0.00299856,-0.0008164,-0.00241957
31,0.01998654,0.03177022,0.03149754,0.01139186,0.00680117,0.01416622,0.00705443,0.01140798,0.00638116,-0.00254902,0.00184226,0.00093423
31.2,0.02644175,0.03196069,0.03484622,0.0123878,0.00634093,0.0106379,0.00693629,0.00796584,0.01052186,-0.00038237,-0.00041327,-0.00267924
31.4,0.02213451,0.03310042,0.03323278,0.0150861,0.00844721,0.01239647,0.01688576,0.00647844,0.00786764,-0.00433696,-0.00069064,-0.00217105
31.6,0.02159703,0.03404104,0.0342967,0.01197944,0.0120648,0.00895183,0.00580088,0.00834081,0.01337737,-0.00067014,-0.00104904,0.00256406
31.8,0.0215649,0.03006431,0.03071514,0.01165806,0.00902544,0.01151864,0.00673068,0.01052386,0.00834266,-0.00116018,-0.00096929,-0.00356077
32,0.02219632,0.03311478,0.0310075,0.01038946,0.0103165,0.01408376,0.00659627,0.00731159,0.01046968,0.00261986,-0.00056943,0.00387736
32.2,0.01480761,0.03174137,0.0241426,0.01235847,0.00625558,0.00851525,0.00920577,0.00588543,0.01197634,-0.00365001,-0.00010326,-0.00237472
32.4,0.02046621,0.03239288,0.0289172,0.01194574,0.00542401,0.01347865,0.00983537,0.00715716,0.00899336,-0.00593999,-0.0020152,-0.00208066
32.6,0.02328497,0.02961828,0.0317452,0.0109721,0.00761719,0.01213558,0.00743578,0.00390933,0.00773248,-0.00102327,-0.00124243,0.00144105
32.8,0.02142617,0.03101974,0.03357214,0.00462983,0.0088775,0.00736122,0.00672472,0.01097743,0.00984171,-0.00290615,0.00041864,-0.00278215
33,0.01814056,0.03131889,0.03839687,0.01116647,0.00715549,0.01295905,0.01139102,0.00752423,0.01178933,-0.00097692,0.00163404,0.00050815
33.2,0.02218139,0.03280484,0.03290922,0.01125769,0.0074154,0.00869866,0.00699846,0.00861324,0.01040891,-0.00585291,0.00425721,0.00309532
33.4,0.02101171,0.03046157,0.03350637,0.01047824,0.00831879,0.01126637,0.01073784,0.00756274,0.01496274,-0.00349832,0.00202662,-0.0040016
33.6,0.01841134,0.031376,0.03170992,0.00830863,0.00802515,0.01675616,0.01380966,0.00813995,0.01062107,-0.00175244,0.00067586,0.00136571
33.8,0.02078068,0.03168367,0.02915663,0.01196028,0.00923945,0.01384284,0.00804336,0.00624753,0.00784669,-0.0012154,-0.00155711,-0.00066696
34,0.01872662,0.03152849,0.03500546,0.01400848,0.01056577,0.01457574,0.00870652,0.00502209,0.01195965,-0.00293818,-0.00074616,-0.0021825
34.2,0.02013812,0.02744194,0.03082035,0.01170187,0.00663613,0.01163633,0.00827078,0.00559319,0.00841046,-0.00358081,-0.0039823,-0.0015635
34.4,0.0171938,0.03423431,0.0296411,0.0111651,0.00743715,0.00833909,0.00956807,0.01298771,0.00603539,-0.00468067,0.00112829,-0.00214563
34.6,0.0159272,0.02872722,0.0309423,0.01236002,0.0083455,0.01079224,0.01230396,0.00755561,0.00853488,0.00149697,0.00220845,-0.00493328
34.8,0.02103141,0.02670737,0.02981949,0.0090193,0.0081713,0.01168998,0.00715268,0.00698856,0.01068589,-0.00191197,0.00209409,0.00110309
