PDZ,PDZ_WT,PDZ_WT,PDZ_WT,Homolog_09,Homolog_09,Homolog_09,Homolog_11,Homolog_11,Homolog_11,Homolog_36,Homolog_36,Homolog_36
Peptide,Syn15,Syn15,Syn15,Syn15,Syn15,Syn15,Syn15,Syn15,Syn15,Syn15,Syn15,Syn15
Time (s),BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response,BLI_response
0,0.0137921,0.03012269,0.02540297,-0.00218608,-0.00360318,0.00173517,0.00180561,-0.00123557,0.00019387,-0.00727132,-0.00269869,-0.00429417
0.2,0.01901239,0.0329042,0.03454587,0.00076522,-0.01018073,0.00089438,0.00343383,0.00496266,-0.00133341,-0.00899223,-0.0014666,-0.0000496
0.4,0.02754504,0.03473001,0.03741545,0.00327848,-0.00527464,0.00491707,0.00310124,0.00605942,0.00457138,-0.00913608,-0.00300783,-0.00667526
0.6,0.02452254,0.03493573,0.03613696,0.00214328,-0.00284152,0.00549738,0.00413022,0.00777955,0.01048914,-0.00561422,0.00103927,-0.00570206
0.8,0.02566296,0.03314348,0.03839905,0.00786434,-0.00726988,-0.00256689,0.00643275,0.00685758,0.00169945,-0.00163481,-0.00469282,-0.00370149
1,0.02719849,0.03562497,0.03625659,0.00041152,-0.00331413,0.00379433,0.00506148,0.00237519,0.00473518,-0.00587273,-0.00248441,-0.00137652
1.2,0.0288682,0.03202682,0.03724304,0.00851761,-0.00240468,0.00427292,0.00843353,0.00163836,0.003449,-0.00194705,0.00059224,-0.00545521
1.4,0.0227063,0.03767653,0.03953499,-0.00008108,-0.00267925,0.00570624,0.00534884,0.00704021,0.00698537,-0.00678632,0.00013322,-0.00236337
1.6,0.03069556,0.03906273,0.03955684,0.00595076,0.00091324,0.00436212,0.0030644,0.00546841,0.01116151,-0.00084093,-0.00193685,-0.00162654
1.8,0.02539998,0.03567453,0.03585861,0.00794817,-0.00335263,0.00293638,0.00512103,0.00595597,0.00669906,-0.00963196,-0.00323248,-0.00134449
2,0.02095243,0.03925978,0.04126415,0.00894929,-0.0013585,-0.00009905,0.00697712,0.00665528,0.00892413,-0.00258103,0.00190962,-0.00472383
2.2,0.02467281,0.03602289,0.03847418,0.0030586,-0.00144007,0.00606324,0.0053804,0.00432185,0.00575579,-0.00394145,-0.00279235,0.00165694
2.4,0.02139396,0.036866,0.03663138,0.00438706,-0.0006585,0.0018848,0.0088589,0.00402854,0.01037074,-0.00674391,-0.00386533,-0.00587286
2.6,0.02877906,0.03625437,0.03839616,0.00556631,-0.0008729,0.00282045,0.00604481,0.00470028,0.00561843,-0.00262442,-0.00936669,-0.00160922
2.8,0.02441594,0.03255813,0.03947804,0.00831215,-0.00154732,0.00290443,0.00510756,0.008456,0.00662658,-0.0002853,-0.00141942,-0.00434922
